명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
길목가든,42991,길목가든,053-615-7400,대구광역시 달성군 유가읍 휴양림길 207,35.6922134196,128.5043311685,비슬산자연휴양림 입구에 위치하고 있는 유황오리 전문식당이다. 비슬산 아래의 작은 마을 전체가 음식촌이다. 그곳에서도 오리에 관한한 가장 명성이 있는 식당이다. 마을에서는 가장 위쪽에 위치하고 휴양림 쪽에서는 첫 번째 집이 길목가든이다. 겉보기에는 일반 콘크리트 집이지만 내부는 황토방으로 꾸며져 있다. 이 집의 최고 요리는 유황오리 백숙이다. 7가지의 한약재를 넣고 3시간 여를 푹 고와 내놓는데 오리 특유의 느끼함과 기름기가 전혀 없이 담백하고 구수하다. 함께 나오는 야채도 밑반찬도 텃밭에서 직접 길러서 내놓는다고. 그리고 가벼운 식사를 원하는 사람들에게는 야채비빔밥을 목기에 담아 내놓는다.<br>,053-615-7400,,,주차 가능,0,,10:00 ~ 22:00,"토,일요일",유황오리 한방백숙,유황오리 한방백숙 / 유황오리 한방능이백숙 / 유황오리 훈제 / 유황오리 불고기 외,,모두 금연석,가능,가능,전화 예약 가능 (053-615-7400),"화장실:업소내 / 남녀개별 화장실
",20000188213
손복자 부산 할매낙지,41866,손복자 부산 할매낙지,053-554-9475,대구광역시 서구 달구벌대로 1789,35.8592011179,128.5604105051,"오랜 전통의 손복자 부산 할매낙지는 바다가 없는 대구에서 문을 연 최초의 낙지 전문점이다. 진한 국물 맛과 낙지의 쫄깃함을 느낄 수 있는 산낙지 전골, 산낙지회 등 산낙지 마니아들에겐 입소문이 자자하다.",053-554-9475,,,주차 가능,0,,11:00~22:00<br>라스트 오더 21:00,연중무휴,산낙지전골,산낙지전골 / 산낙지볶음 / 산낙지회 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-554-9475),,20000163084
동이식당,42829,동이식당,053-643-7799,대구광역시 달서구 한실로6길 165-7,35.7933330126,128.5300038982,"대구 달서구 대곡동에 있는 동이식당은 동이 정식(한정식)을 메뉴로 한다. 저렴한 가격에 안동 간고등어와 다양한 반찬이 제공되며, 안동 간고등어는 추가 주문이 가능하다.",053-643-7799,,,주차 가능,0,,10:30 ~ 21:00,매주 수요일,동이 정식(한정식),동이정식 / 막걸리 외,,모두 금연석,없음,,전화 예약 문의 (053-643-7799),,20070182244
부부식당,41114,부부식당,053-964-3117,대구광역시 동구 율하동로24길 31(신기동),35.8696609516,128.7057779677,"대구광역시 동구 신기동 반야월 시장 내에 있는 부부식당은 국밥을 주메뉴로 한다. 부부식당에서 사용하는 모든 음식의 재료는 국내산을 사용하며, 24시간 주문이 가능하다.",053-964-3117,,,,0,,00:00 ~ 24:00,연중무휴,추어탕 / 선지국밥,추어탕 / 선지국밥 / 선지정식 / 한우소머리국밥 / 한우소고기국밥 / 돼지따로국밥 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-964-3117),,20080160419
쉬어가는 집,41036,쉬어가는 집,053-985-5478,대구광역시 동구 팔공로30길 10,35.9115633675,128.6423573817,"불로동에 있는 코다리찜 전문 음식점이다. 메뉴에는 코다리찜, 낙지볶음, 도루묵찌개, 도루묵구이, 돼지껍데기, 양념닭발, 계란말이 등이 있다.<br>",053-985-5478,,,,0,,11:00 ~ 21:00,첫째·셋째 일요일,코다리찜,코다리찜 / 낙지볶음 / 도루묵찌개 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-985-5478),,20030160276
영생곱창,42487,영생곱창,053-629-7308,대구광역시 남구 대명로36길 64,35.8367900225,128.5743654542,"※ 영업시간 14:00 ~ 01:00 (전화문의)

대구에서 가장 번화한 계명대 근처, 안지랑곱창골목 안에 위치한 작은 규모의 돼지곱창 전문점이다. 안지랑 곱창골목은 돼지생막창과 돼지곱창을 주로 취급하는 곱창전문 골목이다. 생막창은 연탄불에, 양념막창은 철판에 구워준다. 저렴한 가격에 양이 푸짐해 젊은이들 사이에서 인기 있다.",053-629-7308,,,주차 가능,0,,14:00 ~ 01:00 (전화문의),첫째·셋째 월요일<br />둘째·넷째 일요일 (전화문의),곱창 / 막창,곱창 / 막창 / 삼겹살 / 제육볶음 / 닭발 / LA갈비 외,,모두 금연석,가능,가능,전화 예약 문의 (053-629-7308),,19980166140
가창옛날찐빵손만두 본점,42933,가창옛날찐빵손만두,053-768-5768,대구광역시 달성군 가창면 가창로 1099,35.8026725410,128.6221844139,"[대구 달성군 가창면 용계리에 있는 찐빵, 손만두 전문 가창옛날찐빵손만두]<br /><br />가창옛날찐빵손만두는 반죽에서부터 모든 작업을 수작업을 통해서 만들고 있다. 손 만두와 찐빵을 제공하며, 홈페이지를 통한 주문이 가능하다.<br>",053-768-7572,,,주차 가능,0,,07:00 ~ 01:00 (익일),연중무휴,찐빵 / 왕만두,찐빵 / 왕만두 / 찐만두 / 김치만두,,모두 금연석,가능,가능,전화 예약 가능 (053-768-5768),,20100188034
호찐빵만두나라,42934,호찐빵만두나라,053-767-1007,대구광역시 달성군 가창면 가창로 1102,35.8028586357,128.6224621621,"대구 달성군 가창면 용계리에 있는 호찐빵만두나라는 찐빵, 만두를 전문으로 하는 음식점이다. 메뉴에는 팥찐빵, 쑥찐빵, 호박찐빵, 찐만두, 왕만두, 고기만두 등 다양한 메뉴를 제공하며 선물용 박스로도 구입이 가능하다.<br>",053-767-1007,,,주차 가능,0,,07:00 ~ 00:00,연중무휴,고기만두,고기만두 / 김치만두 10개 / 찐만두 10개 / 왕만두 5개 / 팥찐빵 5개 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-767-1007),,19880188008
윤옥연할매떡볶이 (구 신천마약할매떡볶이),42001,윤옥연할매떡볶이,053-756-7597,대구광역시 수성구 들안로77길 11,35.8645598884,128.6170525889,"윤옥연 할매 떡볶이는 1974년 신천시장에서 개업하여 중독성 강한 매운맛으로 한번 먹고 나면 3일 뒤에 또 생각난다는 일명 ‘마약 떡볶이’로 사랑을 받기 시작했다. 후추 향이 강하고 단 맛이 없는 매운 맛으로 매니아층을 확보하고 ‘신천할매’ 팬클럽이 생길 정도로 인기를 끌며 대구 신천시장의 대구 할매 떡볶이로 자리매김했다. 맛과 인기는 날로 퍼져 여러 방송 매체를 통해 소개되었고 엄청난 인기에 너도 나도 떡볶이 양념을 따라 만들어 유사 브랜드들이 생겨나 ‘윤옥연 할매 떡볶이’ 로 이름을 바꾸면서 새롭게 시작하게 되었다. 
(출처: 윤옥연할매떡볶이)",053-756-7597,,,,0,,10:00~21:00,매주 월요일,떡볶이,떡볶이 / 어묵나베  / 만두 / 김밥 / 순대 등,,모두 금연석,없음,가능,포장 주문 가능 (053-756-7597) / 좌석 예약 불가,,20090174271
칠성동할매콩국수,41589,칠성동할매콩국수,053-422-8101,대구광역시 북구 침산남로 40,35.8887592528,128.5805301330,※ 영업시간 11:00 ~ 20:00<br><br>대구 북구 노원동1가에 있는 콩국수 전문 음식점이다. 메뉴는 단일 메뉴로 따로 주문할 필요 없이 알아서 메뉴를 준비해준다.,053-422-8101,,,주차 가능,0,,11:10 ~ 18:00,일요일,콩국수,콩국수 / 육전 외,,모두 금연석,가능,,전화 예약 가능 (053-422-8101),,20060168909
지산골가마솥국밥,42151,지산골가마솥국밥,053-765-4001,대구광역시 수성구 수성로 232,35.8461341244,128.6131728884,"지산골 가마솥 국밥은 대구 수성구 중동에 위치한 국밥 전문점이다. 이곳은 매일 아침 최고급 참한우만을 엄선하여 조리한다. 대표 메뉴는 소고기 국밥으로 뜨끈한 국물과 함께 든든한 식사를 하기 위해 많은 이들이 찾는다. 또한 소고기를 이용한 한우육회비빔밥, 매운 갈비찜, 소불고기 등의 메뉴를 취급한다. 한우육회비빔밥을 시키면 소고기 국밥이 덤으로 제공된다고 한다. 이곳은 넓은 주차장과 깨끗한 내부 시설을 갖추고 있다.",053-765-4001,,,가능,0,,00:00~24:00,연중무휴,소고기국밥 / 육국수,소고기국밥 / 육국수 / 냉콩국수 / 냉면 / 해물파전 / 육회비빔밥 / 돌판떡갈비 등,,모두 금연석,가능,일부 메뉴 포장 가능,전화 예약 가능 (053-765-4001),"화장실:남녀개별, 업소내 위치
",20000175158
커피 앤 스토리,41007,커피 앤 스토리,053-562-0575,대구광역시 동구 팔공산로185길 71,35.9887889108,128.6940839922,"대구 팔공산 동화사 집단시설지구 내 케이블카 올라가는길 입구쪽에 위치한 2층 규모의 카페이다. 간단한 브런치 메뉴와 세계바리스타 대회에서 원두품질 및 로스팅분야에서 높은 점수를 받은 스페셜티 원두만을 사용하여 최고의 커피와 장소를 제공하고 있다. 빨강머리앤을 테마로 남녀노소 누구나 동화 속 세계로 추억여행을 떠나는 시간을 가질 수 있다. 1층에는 셀프 핸드드립바를 마련하여 드립커피를 셀프로 내려 즐길수 있는 공간도 있다. 2층에는 문화강좌 공간이 있어 수공예품만들기강좌, 커피문화강좌를 계획하고 있으며 앤과 관련된 수공예품도 판매하고 있다.",010-4260-7230,,,주차 가능,0,2014년 5월 4일,11:00 ~ 22:00,,천연허브티 / 오레오치즈케이크,천연허브티 / 오레오치즈케이크 / 아메리카노 / 카페라떼 외,,모두 금연석,가능,가능,전화 예약 가능 (053-551-2121),,20140160259
파스타 오띠모,42614,파스타 오띠모,053-290-4591,대구광역시 달서구 서당로7길 45-6,35.8547281614,128.4929387981,"대구 달서구 신당동에 있는 이탈리안 음식점 파스타 오띠모는 계명대학교 성서캠퍼스 인근에 있는 캐주얼 이탈리안 레스토랑이다. 다양한 종류의 피자, 파스타, 샐러드를 저렴한 가격에 맛볼 수 있다.<br>",053-290-4591,,,,0,,11:00 ~ 22:00,연중무휴,화덕피자 / 파스타 / 샐러드,화덕피자 / 파스타 / 샐러드 / 리조또 / 아이스티 외,,모두 금연석,가능,,전화 예약 가능 (053-290-4591),"화장실:남녀개별 화장실
",20080181899
마이커피컬로맨스,41938,마이커피컬로맨스,053-424-4783,대구광역시 중구 동성로4길 93,35.8689451782,128.5994290192,"마이커피컬로맨스는 대구 중구 공평동에 위치한 빙수 전문 카페이다. 마이커피컬로맨스에서는 다양한 종류의 빙수와 커피 및 음료를 판매하며, 이곳의 메뉴 중 자몽 빙수가 인기 있다.",053-424-4783,,,,0,,12:00 ~ 23:00,연중무휴,자몽 빙수,자몽 빙수 / 바닐라 라떼 / 고구마 라떼 / 레몬 에이드 / 브라우니 / 딸기 요거트 스무디 / 딸기 와플 외,,모두 금연석,가능,,,"화장실:남녀개별, 업소내 위치
",19910158080
류,41938,류,053-425-3527,대구광역시 중구 동성로4길 91,35.8688285236,128.5993956921,"카페 류는 대구 중구 공평동에 있는 로스팅, 핸드드립 전문 카페이다. 세계 각국의 커피 원두로 다양한 종류의 커피를 맛볼 수 있다.<br>",053-425-3527,,,,0,,12:30 ~ 22:00,연중무휴,핸드드립 커피,아메리카노 / 에스프레소 / 비엔나 / 마롱라떼 / 패션 프룻 에이드 / 일본식 아이스 드립 / 로얄 밀크티 / 티라미수 조각 케이크 외,,모두 금연석,가능,가능,,,20100158255
루시드,41938,루시드,053-422-7020,대구광역시 중구 동성로4길 94,35.8688285283,128.5996512250,"명쾌하다는 뜻의 루시드는 2008년 5월, 동성로 골목에 처음 자리를 잡아 시작하였다. 세계 각국의 원두를 이용한 핸드드립 커피와 다양한 종류의 음료 및 디저트 메뉴를 맛볼 수 있으며, 찰떡으로 맛을 낸 푸짐한 양의 녹차빙수가 대표 메뉴이다.",053-422-7020,,,,0,,12:00 ~ 21:00,매주 수요일,핸드드립 커피,핸드드립 커피/ 아메리카노 / 더치커피 / 자몽진저티 / 라임에이드 / 녹차빙수 / 망고빙수 외,,모두 금연석,가능,가능(일부 메뉴),,,20080158116
구일식당,41843,구일식당,053-567-9826,대구광역시 서구 평리로35길 28-10,35.8623226838,128.5439563133,"대구광역시 서구 중리동 곱창골목에 위치한 구일식당은 곱창·대창 전문 음식점이다. 구일식당에서는 곱창·대창 볶음과 전골, 구이, 주먹시, 차돌박이 등 다양한 메뉴를 제공한다.",053-567-9826,,,,0,,10:00 ~ 23:00,,곱창·대창 전골,곱창·대창 전골 / 주먹시+곱창·대창 전골 / 주먹시 / 차돌박이 / 곱창구이 / 생고기 / 육회 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-567-9826),,19840163015
벙글식당,41843,벙글식당,053-566-5508,대구광역시 서구 와룡로66길 57,35.8623004637,128.5439590910,"중리동 곱창골목에 위치한 30년 넘는 전통의 곱창·대창 전문 음식점이다. 벙글식당에서는 곱창·대창 전골, 구이, 주먹시, 차돌박이 등 다양한 메뉴를 제공한다.",053-566-5508,,,,0,,09:00~24:00,첫째·셋째 일요일,주먹시 / 곱창+대창전골,주먹시 / 곱창+대창전골 / 주먹시+대창전골 / 등골 / 지레 / 간·천엽 / 육회 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-566-5508),,19840163020
동원찜갈비,41908,동원찜갈비,053-427-1430,대구광역시 중구 동덕로36길 9-4,35.8706923073,128.6051062484,"동원찜갈비는 대구 동인동 찜갈비 골목에 위치한 찜갈비 전문 음식점이다. 갈비찜을 주메뉴로 하며, 소고기 찌개와 공깃밥을 함께 맛볼 수 있다. 갈비는 국내산과 호주산을 선택하여 맛볼 수 있으며, 동원찜갈비는 ONCE FOOD 캠페인 참여 음식점으로 남은 음식 재사용 안 하기 운동을 실천하고 있다.<br>",053-427-1430,,88석,주차 가능,0,,09:00 ~ 23:00,연중무휴,찜갈비,낌갈비(국내산한우·호주산) / 갈비살 찌개,,모두 금연석,가능,가능,"전화 053-427-1430, 423-4145",,19900158157
월성찜갈비,41908,월성찜갈비,053-424-6942,대구광역시 중구 동덕로36길 9-5,35.8707645160,128.6048173827,"월성찜갈비는 대구 동인동 찜갈비 골목에 위치한 찜갈비 전문 음식점이다. 대표 메뉴로 찜갈비를 맛볼 수 있으며, 어린이를 위한 어린이용 찜갈비도 준비되어 있다. 이외에 한우 갈빗살 찌개를 맛볼 수 있으며, 찜갈비의 경우 국내산과 호주산이 준비되어 있다. 주차장이 협소하여 자가용 이용 시 가게 인근에 주차 후 걸어오는 것이 좋다.",053-424-6942,,,주차 가능,0,,09:00~24:00,연중무휴,찜갈비,찜갈비 / 어린이용 찜갈비 / 한우 갈빗살 찌개 외,,모두 금연석,가능,,전화 예약 문의 (053-424-6942),,19770158042
유진찜갈비,41908,유진찜갈비,053-425-7184,대구광역시 중구 동덕로36길 9-13,35.8711005902,128.6048840340,"유진찜갈비는 대구 동인동 찜갈비 골목에 위치한 찜갈비 전문점으로 갈비찜을 주메뉴로 하고 있다. 국내산 한우와 호주산을 선택하여 갈비찜을 맛볼 수 있으며, 국내산 한우와 호주산을 사용하여 제공하는 찌개도 맛볼 수 있다. 유진찜갈비는 갈비찜과 찌개 주문 시에 공깃밥은 별도이다. 유진찜갈비는 1, 2층 규모로 2층에 단체 연회석이 있어 가족모임, 단체 회식 등 단체 모임 하기에 적합하다.<br>",053-425-7184,,,주차 가능,0,,09:30~ 21:00,연중무휴,찜갈비,찜갈비(국내산 한우·호주산) / 갈비살 찌개(국내산 한우·호주산) 외,,모두 금연석,가능,,전화 예약 문의 (053-425-7184),,19760158002
미림식당,41925,,,대구광역시 중구 국채보상로93길 6,35.8708640675,128.5811083574,"서문시장 인근에 위치한 54년 된 돈가스 집이다. 유명 방송 프로그램에 소개되어 줄을 서지 않으면 먹기 힘들 정도이다. 도톰하고 큰 옛날 돈가스가 대표 메뉴이다. 이 식당은 전통방식 그대로 돈가스를 만들어 더욱 인기가 좋다. 고기를 다지는 기계가 있지만 여전히 소주병으로 고기를 다지고, 옥수수 식빵을 채에 쳐서 고운 빵가루를 내린다. 소스도 54년 전 방식으로 만든다. 소스의 기본이 되는 루는 흔히 버터로 볶지만 이집 소스에는 버터가 들어가지 않는다. 느끼하지 않고 한국 사람들 입에 잘 맞는 이유다. 소스 마지막에는 아버지가 처음 만들었던 씨소스를 넣는다.<br>",053-554-6636,,,주차 가능,0,,11:30 ~ 20:20 (라스트오더 20:10),일요일 (전화문의),돈가스,돈가스 / 어묵우동 / 냄비우동 외,,모두 금연석,가능,,,,19810158047
미진분식,41938,미진분식,053-431-1120,대구광역시 중구 동성로2길 71,35.8692006576,128.5968959017,"동성로 미진분식은 40년이 넘게 사람들의 사랑을 받아온 대구 분식계의 터줏대감이다. 메뉴는 김밥, 우동, 쫄면, 비빔우동 네 가지가 전부지만, 네 가지가 모두 인기 메뉴다. 미진분식이 정식으로 간판을 단 것은 78년이지만 장사를 시작한 것은 그 이전부터라니 40여 년이 훌쩍 넘은 역사를 자랑한다. 지금은 본점은 아들이, 228점은 막내딸이 대를 이어 영업 중이다. 전 메뉴 포장이 가능해 포장해가는 손님들도 많다.<br>",053-431-1120,,,,0,,10:00 ~ 20:00,명절연휴(전화문의),김밥 / 쫄면,김밥 / 쫄면 / 우동 / 비빔우동 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (053-431-1120),,20080158344
고구려숯불갈비,42956,고구려숯불갈비,053-639-6766,대구광역시 달성군 화원읍 명천로 244,35.7987400401,128.4921820803,"달성군 지정 친절하고 청결한 맛집으로 2001년부터 운영되어온 국내산 냉장육만 취급하는 고기 전문점이다. 오너 셰프가 직접 모든 식재료를 준비하며 조리한다. 건물 뒤로 15대 이상의 주차 가능한 넓은 공간이 마련되어 있으며 홀과 4개의 룸으로 구성되어 있어 가족 외식, 모임에서부터 단체 연회까지 가능하다. 최대 수용인원은 120명, 룸에는 최대 64명까지 수용 가능하다.",053-639-6766,,,주차 가능,0,,11:00 ~ 23:00,월요일,돼지갈비,돼지갈비 / 생삼겹살 / 한우버섯불고기 / 항정살 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 문의 (053-639-6766),"화장실:업소내 위치, 남녀개별
부대시설:테라스
",20010188082
더우,42115,더우,053-742-0210,대구광역시 수성구 들안로64길 39,35.8587633746,128.6198719466,"더우는 대구에서 유일한 드라이에이징(건식숙성)한우 전문점이다. 자체 제작한 자작나무설비에서 최소 30일~최대 70일 동안 숙성시킨다. 30일이라는 시간동안 일정한 온도와 습도 그리고 통풍이 되는 조건에서 한우를 숙성시키면 고기의 표면은 마르지만 고기 안쪽으로 응축된 아미노산과 불포화지방산 등이 고기의 식감을 더 연하고 부드럽게 하며, 치즈향 같은 독특한 풍미가 생긴다. 식육식당처럼 고기를 사갈 수도 있고, 구워먹을 수도 있다. 2등급 한우 등심을 참숯에 직화로 구워서 먹을 수 있다. 숙성등심 가격은 시세변동가격제를 적용하여 시세에 따라 유연하게 판매한다.<br>",053-742-0210,,,주차 가능,0,2015-02-10,11:00 ~ 22:00 (마지막 주문 21:30),연중무휴 (명절 전화 문의 요망),드라이에이징한우 등심,낙지소면볶음정식 / 바삭불고기정식 / 드라이에이징정식 / 숙성등심 외,,모두 금연석,가능,드라이에이징 등심 포장 가능,전화 예약 문의 (053-742-0210),"화장실:남녀공용화장실(2층)
",20150174044
