명칭,우편번호,관리자,전화번호,주소,위도,경도,개요, 유산구분,문의 및 안내,개장일,쉬는날,체험안내,체험가능연령,수용인원,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
크라센,41550,,,대구광역시 북구 성북로5길 10(침산동) 2층,0,0,"크라센은 대구 북구8경과 북구의 향기를 테마로 체험상품과 기념품을 제작한다. 북구8경의 빛(풍광, 야경, 석양, 일몰, 별빛, 노색들, 푸른강)을 경험할 수 있는 상품과 향기카드에 스토리텔링을 추가하여 관광지에 대한 해설을 가미한다.<br>",,010-9543-0210,,,,,,,,불가능,없음,없음,,
팔레트,41424,,,대구광역시 북구 동암로38길 9-35(구암동) 1층,0,0,"팔레트는 대구 북구 8경의 아름다운 경관을 알리며 기억시키는 역할을 위해 공방 청년들이 모인 곳이다. 여러 가지 색을 담은 팔레트처럼 대구 북구 8경의 경관을 여러 방면으로 활용한 디자인 굿즈 및 취미 키트를 개발 및 제공한다. 또한, 체험 공방 운영으로 지역 주민 및 관광객이 참여할 수 있는 즐거움을 제공한다.<br>",,010-2993-2192,,,,,,,,불가능,없음,없음,,
팔거산성,41481,,,대구광역시 북구 노곡동,35.9253937747,128.5687301521,"팔거산성은 일명 독모성(獨母城)이라 기록(記錄)되기도 하며, 가산산성 (架山山城)이 구축되기 전까지는 대구 북방의 군사적 요충지였다. 대구광역시 북쪽 팔공산의 지맥 끝자락에 위치한 산성으로, 성안에 평지와 계곡을 품고 산꼭대기를 둘러 쌓았다. 산의 생김새가 함지를 엎어놓은 것과 비슷하여, 이 산을 함지산 또는 방티산이라 부르기도 한다. 해발 300m가 넘는 가파른 경사를 이용하여 흙과 잡석을 섞어 쌓았다. 산성의 서쪽 기슭 아래에 4∼5세기경에 만들어진 무덤들이 흩어져 있는 것으로 보아, 팔거산성 역시 이 무덤을 쌓은 세력 집단에 의해 만들어진 것으로 짐작된다.",,053-665-2171,,,,,,,,,없음,없음,,
석조부도,41566,,,대구광역시 북구 대학로 80,35.8887070963,128.6138771954,"* 대구 산격동 연화 운룡장식 승탑 *<br /><br /> 높이 274㎝, 지대석 너비157㎝ 석조부도는 승려의 사리를 모셔 놓은 곳으로, 사리탑이라 부르기도 한다. 경북대학교 야외박물관에 세워져 있는 이 부도는 대구시에 거주하던 일본인 소창무지조(小創武之助)의 사택에 있던 것을 현 위치로 옮겼 놓았으며, 원래의 위치나 주인공에&nbsp;대해서는 알려지지 않고 있다. 사리를 넣어두는 탑신(塔身)을 중심으로, 아래에는 이를 받쳐주는 기단부(基壇部)를 두고, 위로는 머리장식을 얹었다. 지대석(地臺石)위에 하대(下臺),중대(中 臺),상대(上臺)가 있으며 하대석(下臺石)과 중대석(中臺石)에서 고려시대의 특색이 가장 잘 나타나 있다. 기단의 하대석은 4각이며 각 면에는 엎어놓은 연꽃무늬가 조각되어 있다. 중대석은 동그스름한 8각으로, 표면 전체에 구름이 새겨져 있으며, 앞·뒤·좌·우에는 용 네 마리가 도드라지게 조각되어 있다. 각이 선명하고 강인함이 느껴지는데, 여기에서도 고려시대의 기상이 묻어나온다. 탑신은 8각의 몸돌 모서리에 기둥 모양을 본떠 새겼다. 앞·뒷면에는 문짝 모양을 조각하였으며, 그 좌우에는 불법을 지켜주는 4천왕(四天王)을 새겨 놓았다. 상대석 역시 8각이며, 꼭대기에서 가파른 경사를 보이다가 밑에서 넓게 퍼져 있다. 낙수면의 각 모서리선은 뚜렷하며 여덟 곳의 귀퉁이에서 살짝 들려 있다. 전체적으로 8각의 양식을 잘 따르면서도 고려시대의 특징이 잘 나타나 있다. 곳곳에서 여주의 고달사지부도(국보)를 떠올리게 하지만 조각수법이 다소 뒤떨어져 있으며, 고려 전기에 만들어졌을 것으로 보인다. 탑신의 윗부분이 조금은 움츠러든 감이 있으나, 중대석에 새겨진 구름과 용무늬는 기단부의 웅장함을 돋보이게 한다.<br /><br />* 대구 산격동 사자 주악장식 승탑 *<br /><br /> 보물. 역시 경북대학교 야외박물관에 보존되고 있으며, 대구시내에 거주하던 일본인 소창무지조(小創武之助)의 집에 있던 것을 1958년 현재의 위치로 옮겼는데, 원소재지는 알 수 없고 누구의 부도인지도 알 수 없다. 전체적으로 8각의 평면을 기본으로 삼아 각 부분을 이루고 있으며, 3단으로 이루어진 기단(基壇) 위에 탑신(塔身)을 올리고 지붕돌을 얹은 형태이다. 기단(基壇)·탑신(塔身)·옥개(屋蓋)·상륜(相輪)이 팔각원당형(八角圓堂型)의 형식을 따른 고려시대의 전형적인 부도이다. 네모진 바닥돌 위에 올려진 기단은 하대(下臺),중대(中 臺),상대(上臺)로 나뉘어지는데, 하대석 옆면에는 사자를 새겨 놓았고, 윗면에는 구름을 입체적으로 조각하였다. 중대석은 모서리를 죽이고 각 면마다 악기를 연주하는 모습을 새겼다. 상대석은 가운데 띠를 돌리고 아래·윗면에 소박하면서도 큼직한 연꽃을 조각하였다. 사리를 모셔놓은 탑신은 낮은 편이며, 모서리에는 기둥 모양을 새기고 앞·뒷면에는 자물쇠가 달린 문짝 모양을, 나머지 면에는 사천왕상(四天王像)과 보살상을 조각하였다. 넓은 지붕돌은 밑면에 향로와 비천상(飛天像)을 아름답게 새겼으며, 처마부분은 목조건축의 지붕양식을 따라 2중의 서까래를 촘촘히 본뜬 조각이 있다. 윗면에는 연꽃이 둘러져 있으며 그 위의 4면에는 불교의 낙원에 산다는 새인 가릉빈가(迦陵頻伽)를 조각한 노반(露盤:머리장식받침)이 올려져 있어 웅장함을 더해준다. 이 부도는 지붕돌 일부가 깨지고 온전한 상태로 남아 있지는 않지만, 위아래의 비례가 잘 맞아 아름다운 작품이다. 각 부분의 조각이 웅장하고 뛰어나며, 고려시대의 특징이 잘 나타나고 있다.<br>",,053-665-4326,,,,,,,,있음,없음,없음,,
도남지,41408,,,대구광역시 북구 도남동,35.9706446156,128.5911241354,"도남지는 대구시 북구 도남동의 작은 저수지이다. 루어낚시로 베스를 낚을 수 있어 민물낚시를 즐기는 사람들 사이에서 유명한 곳이다. 낚시객뿐만 아니라 주변 음식점에 들렀다가 산책 삼아 풍경을 감상하는 관광객도 많다. 도남지는 북대구 IC와 칠곡 IC에서 가까운 거리에 위치했다. 주변 관광지로는 신전 뮤지엄, 하중도 등이 있다.",,053-803-3881,,,,,,,,,없음,없음,,
동산계곡,39065,,,대구광역시 군위군 부계면 원효길,36.0420601865,128.6691846893,"팔공산의 수려한 산세와 태고의 신비를 간직한 울창한 숲, 그리고 계곡을 흐르는 수정같은 맑은 물이 조화를 이루고 있다. 예로부터 '멱바우'로 불릴 만큼 수량이 풍부하고, 20여개의 크고 작은 폭포가 계곡을 따라 펼쳐져 아름답다.
* 길이 4km, 폭 30m",,문화관광과 054-380-6915,,,,,,,,,없음,없음,,"관광코스안내:* 대구공항 - 팔공산순환도로 - 가산산성 - 삼존석굴(제2석굴암)
   동산 계곡 - 대율리(전통 마을) - 제 2석굴암 온천 관광호텔 - 인각사 - 장곡리
   휴양림 - 화산산성 - 대구<br>
 * 대구공항 - 영천 은해사 - 인각사 - 경북 능금쥬스 공장 - 대율리 전통마을 - 동산계곡 - 삼존석굴(제2석굴암)- 대구
"
팔공산자연공원(갓바위지구),41007,,,대구광역시 동구 팔공산로199길 6-1,35.9899888140,128.6961948830,"* 자연이 아름다운 곳, 팔공산자연공원(갓바위지구) *<br>팔공산은 대구광역시의 중심에서 북동 방향으로 약 20km 지점에 태백산맥이 남으로 힘차게 내딛다가 낙동강과 금호강이 만나는 곳에 우뚝 멈추어 장엄하게 솟은 산으로 해발 1192.3m의 비로봉을 중심으로 동봉(일명, 미타봉 1,155m)과 서봉(일명, 삼성봉 1,150m)이 어깨를 나란히 웅자를 겨루고 있으며 행정구역으로는 대구광역시 동구에 속하고 영천시, 경산시, 칠곡군, 등 4개 시.군을 경계로 총면적이 30.593㎢이다.<br><br>팔공산은 신라시대에는 부악(父岳), 중악(中岳) 또는 공산(公山)이라 했으며, 고려시대에는 “공산”이라고 하다가 조선시대에 들어 지금의 팔공산이라는 이름으로 불리워지고 있다. 또한 이 곳은 불교 문화의 중심지로서, 대한불교 조계종 제9교구 본사인 동화사를 비롯한 수많은 사찰이 산재해 있으며 많은 기암과 계곡이 있어 봄에는 진달래 영산홍이 피고 여름에는 울창한 숲과 맑은 물이 흐르고 가을은 아름다운 단풍거리가 순환도로를 따라 16.3km에 걸쳐 전개되어 진풍경을 연출하고 있으며, 겨울은 설경과 설화가 아름답게 조화를 이루는 곳으로, 팔공산은 연중 볼거리가 풍부하여 탐방객이 끊이지 않는 명산이다.<br><br>팔공산은 경산시의 북쪽에 위치한 해발 1192.3m의 높은 산으로 신라시대에는 중악, 부악으로 알려진 명산이다. 이곳에는 관봉석조여래좌상(갓바위), 원효사, 천성사, 불굴사 등 신라 고찰과 문화유적이 많다.<br><br>* 갓바위에 대하여 *<br>갓바위는 해발 850m의 팔공산 관봉에 병풍처럼 둘러쳐진 암벽을 배경으로 조성된 높이 4m의 거대한 원각상(圓刻像)이다. 두께 15㎝정도의 갓 모양의 자연 판석을 올려놓은 머리는 육계가 뚜렷한 소발(素髮)이며 두 손의 모양은 석굴암 등 8세기 불상에서 유행하는 항마촉지인(降魔觸地印)과 유사한데, 왼손에 작은 약호(藥葫)를 든 것으로 미루어 약사여래상(藥師如來像)으로 추정된다. 근엄한 얼굴 거대한 체구에 밀착되어 흐르는 통견(通肩)의 유려한 옷 주름선이 선각화(線刻化)되어 상현좌(裳懸座)를 이루었으나 긴장감과 탄력성이 다소 배재된 점에서 9세기의 거대한 불상군을 대표하는 걸작품의 하나로 생각되며 보물로 지정되어 있다.“지성으로 기도하면 한가지 소원을 이루어 준다”는 전설이 있어 이른 새벽부터 치성객들이 줄을 잇고 특히 입시철과 1월 1일에는 기도 및 해돋이 인파로 붐비는 곳이다.",,053-982-0005,,,,,,,,주차 가능,불가,없음,,"입산통제 기간:산불예방, 자연경관유지, 자연환경보전 및 그 밖에 산림보호를 위하여 입산통제 지정<br />
봄철 : 02.15 ∼ 05.15. <br />
가을철 : 11.01 ∼ 12.15<br />
※ 사정에 따라 연장될 수도 있음 
등산로:<strong>갓바위 코스 ① </strong>: 갓바위 집단시설지구 - 관암사 - 갓바위<br />
<strong>갓바위 코스 ② </strong>: 갓바위 집단시설지구 - 갓바위 - 인봉 - 동봉 - 동화사<br>
화장실:있음
이용가능시설:갓바위집단시설지구 
"
대구 스파밸리,42938,,,대구광역시 달성군 가창면 가창로 891,35.7881605357,128.6353392148,"스파밸리는 달성군 냉천리에 위치한 온천시설 및 사우나 시설로 2003년에 오픈했다. 스파밸리 1층에는 헬스클럽, 기념품, 판매점 등이 있고 2층 바데풀, 키즈풀, 삼합체험실, UK-Ball찜질방, 패스트푸드, 굴찜질방, 수면실 등이 있다. 4층에는 대온천탕(음양오행탕, UK-Ball사우나, 황토수면실, 노천탕, 야외워터파크 파도풀, 유수풀, 워터슬라이드(바디슬라이드, 튜브슬라이드), 수구풀, 다이빙풀, 노천탕 등이 있다.<br /><br />대구 스파밸리 온천사우나는 음양오행탕과 UK-ball 사우나가 있다. 음양오행탕은 건강에 이롭고 신체리듬을 향상시키는 여러 종류탕으로 조성되어 있다. 동양의학의 방법과 선인들의 오랜 생활속 경험에서 우러난 민간요법의 방법, 그리고 자연계에 충만해 있는 자연에너지를 이용하는 방법이 조합된 건강온천욕 시스템으로 종류로는 대나무탕, 천초탕, 향나무탕, 뽕나무탕 등이 있다. UK-ball 사우나는 기(氣)를 방출하는 초자연 신물질인 UK-ball은 음양오행의 조화롤 바탕으로 노폐물 및 독소를 제거하고 피부미용과 체형관리에 큰 효과를 주며, 또한, 혈액순환 및 신진대사 촉진에 효과적이라 상쾌한 기분으로 사우나를 즐길 수 있다.<br>",,1688-8511,,,,,,,"(시즌별 이용시간 상이, 홈페이지 참조)",있음,없음,불가,,"입 장 료:(시즌별 가격 상이, 홈페이지 참조)
화장실:있음
내국인 예약안내:온라인예매
"
용연사(대구),42977,,,대구광역시 달성군 옥포읍 용연사길 260,35.7482796084,128.5209476069,"* 적멸보궁으로 유명한 사찰, 용연사 *<br>적멸보궁으로 유명한 용연사는 비슬산의 북쪽 기슭에 자리 잡고 있다. 역사적으로는 912년(신라 신덕왕 1년)에 보양선사가 창건하였고, 임진왜란 때 소실되었다가 1603년(선조 36년)에 사명대사가 다시 재건하였다고 한다. 그 후 다시 한번 소실되어 현재는 1728년에 세운 극락전과 적멸석궁 석조계단, 안양루 등의 전각만 남아 있다. 용연사로 진입하는 진입로 양쪽에는 벚꽃길이 조성되어 있고 근처에 낚시꾼들이 많이 찾는 옥연지가 시원스럽게 펼쳐져 있다. 자운문이라는 용연사의 일주문을 지나면 바로 안양루가 나오는데 안양루의 원래 이름은 보광루라고 하나 근래에 이름이 바뀌었다고 한다. 이 안양루를 지나면 바로 극락전이다. 용연사에는 부처님의 진신사리를 모신 적멸보궁이 있어 이 극락전을 본당으로 모시고 있다. 극락전 안의 석가 삼존불은 조선후기 영조 4년 경에 조성된 것으로 추정되고 있다. 이외에 용연사에는 명부전, 사명당, 용연사 삼층석탑, 석조계단, 12기의 부도들을 찾아 볼 수 있다.<br><br>* 용연사의 역사 및 유래 *<br>914년(신라 신덕왕 3) 보양(寶壤)이 창건하였으며 그 뒤 고려시대까지의 연혁은 전해지지 않는다. 1419년(조선 세종 1) 천일(天日)이 중건하였으나 임진왜란이 일어나자 불탔고, 1603년(선조 36) 탄옥(坦玉)·경천(敬天) 등이 사명대사 유정(惟政)의 명으로 중창하였다.1621년(광해군 13) 범종각을 지었으나 1650년(효종 1) 다시 법당과 요사채 등이 모두 불에 탔다. 1653년에는 홍묵(弘默)이 대웅전을 지었고 승안(勝安)이 명부전을 건립하였다. 1655년 희감(熙鑑)과 홍묵이 함허당(含虛堂)과 관정료(灌頂寮)를 세웠고 이듬해에는 청진(淸振)이 관음전을 지었다. 1658년에는 도행(道行)이 명월당(明月堂)을, 이듬해에는 학신이 향로전(香爐殿)을, 1660년(현종 1)에는 일순(一淳)이 약사전을 차례로 건립하였다.",,053-616-8846,,연중무휴,,,,,,가능,불가,없음,,
도동서원 [유네스코 세계문화유산],43006,,,대구광역시 달성군 구지면 구지서로 726(구지면),35.7009044663,128.3719620246,"도동서원은 조선 5현(五賢)으로 문묘에 종사된 한훤당(寒暄堂) 김굉필(金宏弼)을 향사한 서원으로 1568년(원조원년) 지방유림에서 현풍 비슬산 동쪽 기슭에 세워 쌍계서원(雙溪書院)이라 불렀는데 창건 5년 뒤인 1573년(선조6)에 같은 이름으로 사액되었으며 임진왜란 때 소실되었다. 그 후 1604년(선조37)에 지방의 사림들이 지금의 자리에 사우를 중건하여 보로동 서원(甫老洞書院)이라 불렀다. 이황은 김굉필을 두고 ‘동방도학지종(東方道學之宗)’이라고 칭송했다. 1607년(선조40) 도동서원(道東書院)이라 사액하였으며, 마을 이름도 도동리라 고쳐 불렀다. 도동서원은 대원군의 서원철폐 때에도 전국 서원 중 철폐 되지 않은 전국 47개 중요서원의 하나로 사림과 후손들의 두터운 보호 하에 지금에 이르고 있다.<br>",세계 문화 유산,053-616-6407,,,,,,,,,없음,불가,,
묘골마을,42900,,,대구광역시 달성군 하빈면 육신사길 39-4,35.9091122520,128.4157940963,"묘리에는 등실등실한 골기와집이 처마를 맞대고 있다. 이곳은 사육신 박팽년의 후손인 순천박씨들의 세거지이다. 1972년 기초공사를 시작해 1981년 완공한 건물로 외삼문, 삼충각, 숭절당 등이 들어서 있다. 사육신의 행적을 기록한 육각기념비와 박일산이 창건한 태고정(보물)이 눈길을 끌고있다. 이외에도 7대손 숭고(崇古)가 1644년에 세웠다는 충효당, 8대손 중휘(重휘)가 1664년에 세웠다는 금서헌, 14대 후손 문현(文鉉)이 1778년에 세웠다는 도곡재(무형문화재) 등이 있고, 묘골입구로 나와서 오른쪽 지름길로 작은 고개를 넘으면 박팽년의 자손들이 살았던 곳이며 박경리의 소설 “토지”의 배경이 되기도 했다는 묘동 박황(妙洞 朴湟)가옥, “삼가헌”(三可軒)이 오랜 역사와 전통을 이어가고 있다. 이 집은 박팽년의 11대손 성수(聖洙)가 지은 것으로 삼가헌이란 당호는 박성수의 호를 딴 것이라 한다. 그 집에 딸린 하엽정(유형문화재)에는 여름이면 연꽃이 만발한다.",,053-668-2482,,,,,,,,,없음,없음,,
구암서원,41533,,,대구광역시 북구 연암공원로17길 20,35.8987973485,128.5991476568,"구암서원은 서 침(徐沈), 서 거정(徐居正), 서 해(徐懈), 서 성(徐성)등 달성서씨의 선조를 모시는 곳이다. 1665년 창건한 건물로 처음에는 연구산에 있었다. 1675년(숙종 1) 귀계 서 침 선생의 위패를 봉안하고 해마다 제사를 지내다가 1718년(숙종44) 동산동으로 이전하면서 사가 서 거정 선생을 합향하고 그 후 약봉 서 성 선생과 함께 서해 선생을 합향하고 그후 약봉 서 성 선생과 함제서해 선생을 추향하였다. 경내에는 강당, 숭현사, 비각, 제수청 등이 있고 강당은 정면 3칸, 측면 2칸의 팔작지붕으로 되어 있고 숭현사는 정면 3칸, 측면 2칸의 주심 포집의 맞배지붕이다. 세월이 흐르고 도시가 발전함에 따라 동산동 일대의 주변환경이 서원입지로 부적합하여 산격동 연암공원으로 이전하여 새로운 모습으로 단장하였다.",,053-959-7202,,,,,,,,,없음,없음,,
