명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
계명대학교 행소박물관,42601,,,대구광역시 달서구 달구벌대로 1095,35.8557918555,128.4888835704,"* 지역사회의 역사와 문화를 위한, 계명대학교 행소박물관 *
계명대 행소박물관은 ""지역사회의 역사와 문화 및 민중생활의 연구""에 목표를 두고 1978년 5월 대명동캠퍼스 동서문화관에서 개관하였다. 그동안 경북 내륙지역에서 신석기 시대부터 조선시대에 이르는 다양한 유적을 발굴조사 및 연구를 수행하였으며, 특히 가야사 복원연구에 심혈을 기울여 왔다.

2004년 5월 20일 개교 50주년에 맞추어 성서캠퍼스에 6,611m² 규모의 신축박물관을 개관하여 재도약을 시작하였다. 이 신축박물관에는 한반도 역사를 한 눈에 볼 수 있는 상설전시실과 특별전시실 등 1,719m²의 전시 공간과 시청각실, 학예연구실, 보존과학실, 유물정리실, 유물수장고, 뮤지엄카페, 뮤지엄샵 등 다양한 부대시설을 갖추어 전시, 학술연구, 문화교육, 휴식처로 활용할 수 있는 문화종합공간으로 자리매김하고 있다. 특히, 조선시대 양반 가옥을 복원해 놓은 계명한학촌과 계명서당과 연계 한문화투어코스는 대구의 새로운 문화명소로 각광을 받고 있다.

* 행소박물관의 전시실 안내 *
행소박물관에는 계명역사자료실, 제1전시실, 제2전시실, 로비전시실 등의 전시실이 조성되어 있다. 계명역사전시실에서는 설립초기의 인가 협정서 등의 중요문서, 개교 당시의 각종 자료, 역대총장이사장의 초상화, 발전모습이 담긴 중요행사의 사진, 학보, 앨범, 기념품,신문기사, 학생활동, 국제협력 자료 등이 있다.

제1전시실은 시대별 전시실로 한반도의 구석기시대 문화와 대구 경북지역을 중심으로 한 신석기시대, 청동기시대, 초기철기시대, 원삼국시대의 문화상을 다루고 있다. 

제2전시실은 삼국시대에서 조선시대에 이르는 시대별 전시실로 꾸며져 있다. 

로비전시실은 국보인 울산 천전리 암각화와 1956년에 설치된 계명기독대학 최초의 종 및 계명 50년의 역사를 보여주는 사진들이 전시되어 있다.",,"연면적 6,611㎡ 의 독립건물(박물관) 중에 전시공간은 2,049㎡ <br />
 야외공간 7,603㎡",,"10:00~17:00<br />
※ 입장은 16:30까지 가능","일요일, 1월 1일, 설·추석 당일",무료(대관전시시 별도),,,주차 가능,,없음,불가,없음,"사업내용:매년 특별전 개최, 유적 발굴조사 및 문화재분포조사, 박물관대학
한국어 안내서비스:단체관람시 요청에 한하여 전시안내
예약안내:유치원(학원), 초. 중. 고등학교 단체 사전 예약(홈페이지 및 전화예약) <br />
※ 문의 : 학예연구실 053-580-6992~3
"
대구교육대학교 교육박물관,42411,,,대구광역시 남구 중앙대로 219(대명동),35.8530690041,128.5889414958,"* 한민족의 역사와 문화유산을 보존하고 계승하는 대구교육대학교 교육박물관 *
대구광역시 남구에 위치하고 있는 대구교육대학교 교육박물관은 교사양성대학 박물관의 특징을 살려, 민족의 역사와 문화유산에 관계되는 역사학·고고학·민속학에 관계되는 자료 및 교과서와 교육자료 그리고 우리 대학의 교사자료를 수집·보관·전시·교육 연구함으로써, 국민 기초교육을 담당할 예비교사들에게 문화재의 올바른 이해와 민족문화의 애호정신을 고취하고, 나아가서 모교에 대한 애교심과 국민의 사표로서 사도정신을 함양하여 유능한 교사교육에 이바지하는데 설치목적이 있다.

* 대구교육대학교 교육박물관의 역사 *
박물관은 일찍이 1975년 10월에 향토관으로 첫 출범하여 어언 한 세대가 흐르는 가운데 역대 총장님들과 박물관장님들 그리고 대학 구성원 여러분들의 적극적인 협조와 노력으로 장족의 발전을 거듭하여 이제, 각종 역사 고고, 민속자료, 교과서 교육자료, 그리고 우리 대학의 교사자료를 포함하여 총 6천여 점을 넘게 소장하는 교육대학 굴지의 박물관으로 발전하였다.
그러나 사반 세기동안 도서관 2층 좁은 공간에서 귀중한 소장자료를 다 전시하지 못하다가 지난 2001년 8월에는 본관 5층으로 확장 이전하고, 2002년 10월에는 종래의 고고역사실과 민속자료실에다가 추가로 교과서·교육자료실, 그리고 校史 전시실을 마련하여, 박물관의 모습을 일신하게 되었다.",,454.32㎡,,"10:00~17:00<br />
※ 폐관시간 30분전까지 입실","주말, 법정공휴일, 개교기념일(3.26)",무료,,,주차 가능,,없음,불가,없음,"사업내용:1) 문화재 전시 및 향토사 교육<br>
 2) 유치원생, 초등학생 및 본교 재학생을 대상으로 한 현장학습<br> 
 3) 매장문화재 발굴. 조사 및 연구, 정리
"
동원화랑,41959,,,대구광역시 중구 봉산문화길 42,35.8620126066,128.5981626570,"* 19년 전통의 화랑, 동원화랑 *<br>1982년 2월 개관한 동원화랑은 보다 편리하고 풍부한 작품들과 만날 수 있는 공간을 만들겠다는 일념으로 19년 동안 매진해왔다. 주된 사업으로는 신축건물 환경미술 컨설팅 업무를 들 수 있으며, 유수 작가들의 그림/ 미술품 대여 사업도 병행하고 있다.<br><br>* 대구의 예술 거리, 봉산동 *<br>대구광역시 중구 봉산동은 예술거리라고 칭할 수 있다. 주변에 다수의 화랑과 갤러리들리 들어서있어 대구의 문화예술 환경을 한눈에 볼 수 있기 때문이다. 봉산동에 있는 화랑으로는 예송갤러리, 신미화랑, MJ 갤러리, 중앙갤러리, 동원화랑 등이 있다.",,,,10:30~18:00,매주 일요일 (기획전시 중에는 무휴),,,,없음,,없음,불가,없음,"사업내용:1) 신축건물 환경미술 컨설팅 업무<br />
2) 유수 작가들의 그림/ 미술품 대여
"
중앙갤러리,41959,,,대구광역시 중구 봉산문화길 34(봉산동),35.8616320928,128.5981071169,"* 작가와 애호가 사이의 교량 역할을 수행하는, 중앙갤러리 *<br /><br />중앙갤러러는 대구 중구 봉산동에 있다. 1987년 개관하여 기획전이나 초대전을 열었으며, 미술에 대한 정보를 정확히 파악해 작가와 애호가 사이에 실리 있는 교량역할을 하고 있다. 한, 서양문화에 가려 가볍게 다루어지거나 잊혀져가는 근대 회화를 꾸준히 취급하고 있다.<br>",,,,10:00~19:00 (전화문의),"매주 일요일, 설날, 추석",무료,,,없음,,없음,불가,없음,"사업내용:상설전시, 기획전시
"
대구 중구문화원,41958,,,대구광역시 중구 봉산문화길 77(봉산동) 봉산문화회관 4층,35.8634068630,128.5965738691,"* 향토문화를 발전 계승하는 대구 중구문화원 *<br />
중구문화원은 향토문화의 보존, 전승, 발굴 및 계발을 통한 지역문화의 창달과 역사와 전통을 자랑하는 대구문화의 꽃을 피우기 위하여 노력하고 있다. 대구 문화원은 8개 구ㆍ군문화원이 연합하여 운영되고 있는데 이 연합회는 8개 구ㆍ군문화원의 다양하고 특색있는 창조적 지역문화 활동을 통해 지방화시대 대구문화의 위상을 세계에 널리 알리고 전승하는 것이 주된 사업 목적이다.<br>",,전용면적 161평,,09:30~17:30,"토요일, 일요일, 공휴일",,,,주차 가능,,없음,불가,없음,
달성문화원,42988,,,대구광역시 달성군 현풍면 현풍동로 92,35.6989033745,128.4520133654,"* 달성군의 문화 계승과 발전을 위해 노력하는 달성문화원 *<br /><br />달성문화원은 1985년 11월 향토문화예술 진흥을 목적으로 설립된 공익법인 단체이다. 대구, 달성은 같은 뿌리로 1914년 지역개편에 따라 중심부를 대구로 하고 외곽지와 현풍군을 합병하여 16개면으로 발족되었으며, 대구시세 확장에 따라 7개 읍, 면이 대구에 편입되어오다가 1995년 3월 경상북도에서 대구광역시로 달성군 9개 읍, 면이 편입되어 81년만에 옛 모습으로 다시 통합되었다.<br /><br />달성군에 위치하고 있는 비슬산에는 불교문화, 낙동강에는 유교문화가 발달하였다. 불교문화의 대표적인 것으로는 옥포 용연사의 석가 진사리를 모신 석조계단(보물)과 유가종의 고향땅인 유가사(유가란 인도 범어인 YOGA에서 비롯된 결합, 조화, 균형의 뜻)와 참선으로 유명한 도성암, 임진왜란때 사명대사가 승병훈련장으로 사용한 남지장사와 속암 청련암(유형문화재)등이 있다.<br /><br />유교문화로는 조선조 5현의 수현인 한훤당 김굉필 선생을 모신 도동서원(보물), 임진왜란때 의병대장 충익공 망우당 곽재우 선생의 위폐를 봉안한 예연서원(기념물)등 많은 문화재가 산재되어 있다. 이러한 지역 문화를 기반으로 다양한 향토문화를 발굴 계승하는 것이 달성문화원의 주된 사업의 목표이다.<br /><br />* 달성문화원의 주요사업에 대하여 *<br /><br />달성문화원은 지역 문화의 발굴과 계승을 위하여 다양한 문화 프로그램 및 지역 축제들의 사업을 개발 추진 중에 있다. 대표적인 것으로 달성충효문화학교와 청소년문화학교, 문화원 가족 수련대회, 비슬산 참꽃제 산신제 등의 문화 프로그램이 있다. 또한 축제로는 정월대보름 달맞이 기원제 및 축하공연과 미술실기대회, 서예실기대회, 사직제, 달성충효예술제(미술외 6종 전시), 군민의 날 기념 축하공연 등이 있다.<br>",,전용면적 613평,,09:00~18:00,"토요일, 일요일 공휴일",,,,주차 가능,무료,없음,불가,없음,"사업내용:지역사회 개발 및 문화진흥(고유문화 개발, 보존, 전승, 향토사 조사연구, 지역문화행사, 지역문화 사회교육)
"
예송갤러리,41959,,,대구광역시 중구 봉산문화길 56(봉산동),35.8625736428,128.5975960246,"* 미술인구 저변 확대를 꿈꾸는 화랑, 예송갤러리 *<br />
예송갤러리는 1992년에 개관하였으며, 대구의 중심지역인 중구 봉산동 문화거리의 중앙에 있다.<br />
내부 전시장 크기는 약 30여 평이며 바닥은 원목으로 되어있고 조명시설은 형광등, 쿨빔, 할로겐, 스포트 등 다양하게 갖춰져 있다. 또한, 완벽한 냉·난방 시설과 고급 음향시설, 고급 인테리어를 자랑한다.<br />
화랑 운영은 서양화를 주로 취급하고 있고 초대전 및 기획전 위주로 운영하되 약간의 대관전도 병행하고 있다. 또한, 유능한 작가의 창작지원과 미술인구의 저변확대, 투명한 미술품 거래, 미술문화 수준향상을 위해 노력하고 있는 화랑이다. <br />
<br />
* 대구의 예술 거리, 봉산동 *<br />
대구광역시 중구 봉산동은 예술거리라고 칭할 수 있다. 주변에 다수의 화랑과 갤러리들리 들어서있어 대구의 문화예술 환경을 한눈에 볼 수 있기 때문이다. 봉산동에 있는 화랑으로는 예송갤러리, 신미화랑, MJ 갤러리, 중앙갤러리, 동원화랑 등이 있다.<br>",,30여 평,,10:00~19:00,매주 일요일 (전시기간중 무휴),무료,,,없음,,없음,불가,없음,"사업내용:대관 및 전시, 전시품판매
"
국립대구박물관,42111,,,대구광역시 수성구 청호로 321,35.8455790962,128.6383484648,"국립대구박물관은 대구ㆍ경북지역의 특색 있는 문화유산을 보존, 연구 및 전시하는 한편, 각종 사회교육 프로그램 운영 등을 통한 지역 주민들의 문화향수권 신장을 위해 1994년 12월 7일 개관하였다. 대구광역시 수성구 황금동 범어공원 지구 안에 지상 2층, 지하 1층의 아담한 벽돌 건물로 지어진 박물관은 부지 101, 904m²에 건물 연면적 15,027.64m²이다. 국립대구박물관에서는 대구, 경북지역 출토유물의 집성 전시를 통해 영남 지방 선비, 민속문화의 재현 및 선양에 일조하고, 박물관의 사회교육 기능 강화를 꾀하는 것을 목적으로 삼고 있다. 

국립대구박물관의 시설은 전시된 내용에 따라 고고전시실ㆍ미술전시실ㆍ민속전시실 등 늘 열려 있는 세 개의 전시실과 한 개의 기획전시실, 그리고 유물을 보관하는 두 개의 수장고와 각종 문화강좌 및 문화 예술 공연행사가 열리는 강당(360석)이 있다. 또한, 토기 만들기ㆍ탁본 만들기 등 우리 옛 선조들의 생활 모습을 직접 체험할 수 있는 체험학습실, 고고학ㆍ미술사학ㆍ역사일반ㆍ아동도서ㆍ박물관 관련 도서류 등 역사ㆍ문화예술과 관련된 자료가 비치된 도서실(문화사랑방, 6000여 권) 등을 두루 갖추고 있다.",,"대지 101, 904㎡<br />
건물면적 15,027.64㎡","일일수용능력 1,000여명 / 강당 360석 / 시청각실 98석",09:00 ~ 18:00 (17:30 입장마감),"매주 월요일, 1월 1일, 설/추석","무료(상설전시 및 기획전시)<br />※ 단, 유료 특별·기획전시 제외",,약 1시간 내외,"가능(무료, 총 155대/대형 21대, 소형 134대)",,가능,불가,없음,"사업내용:상설전시, 특별전시, 청소년문화강좌, 문화영화 상영, 어린이문화재그리기대회, 박물관대학 운영, 야외체험학습장(염료/약초학습장, 우리곡식학습장, 들꽃산책길, 한자학습장, 고인돌공원) 등
외국어 안내서비스:영어, 일본어, 중국어 가능
예약안내:단체관람(20인 이상)의 경우는 사전에 관람예약
한국어 안내서비스:있음(10:00, 11:00, 13:00, 14:00, 15:00, 16:00)<br />
※ 전시 설명 시간에 맞추어 1층 안내데스크 앞에서 대기<br />
※ 전시내용 설명은 약 40분 정도 소요되며, 1회 약 30명 내외로 제한함
대관안내:기획전시실, 강당, 시청각실, 강의실 등 대관가능 <br />
문의 053-760-8507
"
대구어린이세상,42110,,,대구광역시 수성구 동대구로 176(황금동),35.8466898866,128.6277826972,"대구어린이세상은 백만인 모금걷기운동을 시작하여 200만 시민의 힘으로 1983년 개관 후 약 40년 정도 시민들 곁에서 어린이들을 위해 운영되어오다 3년간 리노베이션을 통해 2023년 대구어린이세상으로 재개관하였다. 대구어린이세상에서는 4가지 영역의 테마 체험존(아기꿈 탐험대, 자연 탐험대, 사회 탐험대, 시간 탐험대)을 통해 보고· 듣고·만지고·느끼고·활동하는 오감을 활용한 다양한 참여형 체험활동을 제공한다.
Hans On : 어린이들이 만지고 느끼는 체험활동
Mind On : 부모님과 아이들이 함께 공감할 수 있는 체험활동
어린이의 건강한 성장발달을 돕고 흥미유발과 꿈과 희망에 기반이 되는 공간으로 어린이의 희망, 꿈, 행복을 만들어 나가는 공간이다.",,"면적  147,558.3㎡(44,636평)<br>
문화관(본관) 5,628㎡<br>
꾀꼬리극장(별관) 2,952㎡<br>
희귀선인장, 기타 381㎡",,"09:00~18:00<br />
※ 자세한 사항은 홈페이지 참고","1월 1일, 설/추석<br>
매주 월요일(단, 월요일이 공휴일인 경우 정상운영)","꿈누리관 4,000원 (자세한 사항은 홈페이지 참고)",,,대구 시설관리공단운영 유료주차장 이용(문의 1577-6446),"16인승 미만(승용차 등) - 2시간까지 1,000원 / 2시간 초과 2,000원<br>
16인승 이상~45인승 이하 - 2시간까지 2,000원 / 2시간 초과 4,000원<br>
45인승 이상 (대형버스 등) - 2시간까지 3,000원 / 2시간 초과 6,000원",없음,불가,없음,"사업내용:1) 과학교육시설, 유희시설 및 문화전시실 운영<br>
 2) 꾀꼬리극장 대관 및 운영(음악회, 연주, 아동극, 웅변, 재롱잔치 등)<br>
 3) 어린이날 행사, 글짓기, 동요부르기, 독서감상문 모집, 아동극 공연 등 각종 어린이 문화예술행사 추진<br>
 4) 각종 편의시설과 조경수목 유지·관리
<br>
대관안내:대관문의 053-760-0613
"
신미화랑,41959,,,대구광역시 중구 봉산문화길 34(봉산동),35.8616320928,128.5981071169,"* 시민의 미술소양 향상을 꾀하는, 신미화랑 *<br /><br />대구 중구 봉산동에 위치하고 있는 신미화랑은 1984년 개관하였다. 30여 평의 규모로 기획초대 및 대관, 전시 및 문화 사업을 주된 사업으로 운영하고 있다.개관 이래 대관전과 다수의 초대전, 기획전을 병행함과 아울러 다양한 예술 활동을 폭넓게 수용하고 있다. 이러한 것을 기반으로 미술인의 창작활동 신장 및 시민들의 미술소양 향상과 즐거움을 더해줄 아늑한 미술전문 공간으로 이루어져 있다.<br /><br />* 대구의 예술 거리, 봉산동 *<br /><br />대구광역시 중구 봉산동은 예술거리라고 칭할 수 있다. 주변에 다수의 화랑과 갤러리들리 들어서있어 대구의 문화예술 환경을 한눈에 볼 수 있기 때문이다. 봉산동에 있는 화랑으로는 예송갤러리, 신미화랑, MJ 갤러리, 중앙갤러리, 동원화랑 등이 있다.<br>",,30여 평,,10:00~19:00,매주 일요일,무료,,,불가,,없음,불가,없음,"사업내용:기획초대, 대관, 전시 및 문화사업
"
가창창작스튜디오&스페이스 가창,42940,,,대구광역시 달성군 가창면 가창로57길 46,35.7377194385,128.6583163709,"가창창작스튜디오는 유망한 신진 예술가들에게 안정적인 창작공간을 제공하여 창작활성화 및 예술교류 활동을 증진하고, 지역주민연계프로그램을 통한 지역문화예술 향유권 신장 및 커뮤니티 활성화를 추진하고 있다. 가창창작스튜디오는 지역 유일의 현대미술 창작공간으로 2007년부터 우록분교 폐교를 대부하여 현대미술분야 젊은 작가들의 창작공간으로의 역할을 하였다.<br /><br />[출처] 가창창작스튜디오<br>",,40평,,,,무료,,,주차 가능,무료,없음,불가,없음,"사업내용:유망작가 발굴 및 한국 미술계 발전 도모
"
대구 남구문화원,42501,,,대구광역시 남구 앞산순환로 478(대명동),35.8313073556,128.5768876060,"* 남구 문화 도식의 핵심, 남구문화원 *
대구광역시 남구문화원은 1998년 5월 9일 지방문화원 설립법에 의해 설립되었다. 남구 지역민들의 지역 고유문화의 개발 보급, 보존 전승 및 선양 지역 문화행사의 개최 전통 문화 국내외 교류, 기타 지역 문화 발전에 기여할 수 있는 사업 등 지역 문화 개발과 진흥을 목적으로 개원한 남구문화원은 짧은 역사에도 불구하고 남구 주민에게 150여 회에 달하는 각종 문화 행사를 개최하여 건강한 남구 문화 도시를 만들어 가고 있다. 문화원 임원진 20명의 대학교수를 비롯하여 문화 예술 전문인 및 각 분야에서 활동하고 있는 전국의 200여 개 문화원 중 가장 활발한 문화활동을 하고 있는 단체로서 현재 200여 명의 문화원 회원이 등록되어 있다.

* 시민들의 진정한 문화공간으로서의 역할 수행 *
남구문화원은 시민들의 문화생활뿐만 아니라 다양한 생활을 영위할 수 있도록 도움을 주고 있다. 남구문화원은 지하 1층, 지상 3층으로 구성되어 있으며, 공연장과 야외 공연장, 전시실 등 다양한 문화 공간으로 구성되어 있다.",,,,09:00~17:00,"토요일, 일요일, 공휴일",,,,주차 가능,,없음,불가,없음,
대구 북구문화원,41447,,,대구광역시 북구 구암로 47어울아트센터 내 별관 2층 (관음동),35.9347756378,128.5466429499,"* 북구민을 위한 문화 전달자, 대구 북구문화원 *
북구문화원은 1999년 12월 31일 설립되었으며, 지역문화행사와 사회문화활동, 향토문화발굴 및 조사연구, 청소년문화의식 고취, 지역문화교류사업 등의 활동을 하고 있다. 

사업내용으로는 미술전시회, 연주회, 공연, 댄스페스티발, 미술치료, 명사초청강연 등 다양한 문화예술을 통한 문화생활의 질을 높이고, 예술인 및 주민문화활동의 장을 확대하여 찾아가는 문화, 참여하는 문화를 제공하며, 다양한 문화활동으로 지역민들의 문화욕구 충족에 도움주고자 설립되었다. 

* 북구문화원의 주요 활동 및 문화 축제 *
북구문화원에서는 주민문화생활의 질을 높이기 위해 다양한 문화 프로그램 개발 및 운영을 하고 있다. 대표적인 행사로는 새해맞이 북구민 안녕기원 한마당, 폭염댄스페스티발, 북구민을 위한 한 여름밤의 음악회 등을 들 수 있다. 또한, 문화 프로그램으로는 북구문화원 회원 문화탐방과 가족미술치료 등을 추진 운영하고 있다.",,,,09:00~18:00,"토요일, 일요일, 공휴일",,,,주차 가능,,없음,불가,없음,"사업내용:새해맞이 북구민 안녕기원 한마당<br />
북구문화원 회원 문화탐방<br />
가족미술치료<br />
폭염댄스페스티발<br />
북구민을 위한 한 여름밤의 음악회
"
대구 달서문화원,42699,,,대구광역시 달서구 문화회관길 160(장기동),35.8435133161,128.5229809055,"* 차별화된 문화복지사업을 추진하는 달서구문화원 *
2000년 개원한 달서구문화원은 지금까지 지역문화의 중심에서 달서구민을 위한 다양한 문화서비스 제공을 실천해 왔다. 또한, 여러분의 많은 지원과 관심으로 좀 더 차별화되고 실질적인 문화복지사업을 추진하기 위한 일환으로 다양한 문화사업을 추진 운영했다.<br />
* 달서구문화원의 문화 프로그램 *<br />연례사업인 사진공모전, 서예공모전, 달서가요제, 어린이동요대회, 달서문화탐방 등의 사업은 이제 역점 문화사업으로 자리매김을 하고 있으며, 아울러 개설중인 문화학교는 주민의 평생학습을 위한 전통문화강좌 등의 프로그램으로 타 문화시설과의 중복성을 배제하는 범위에서 지역민들이 쉽게 접근할 수 있는 방향으로 사업을 추진하고 있다. <br>",,대지 417.70㎡  연면적476.79㎡ 지하1층 지상3층,,09:00~18:00,"토요일, 일요일",,,,주차 가능,,없음,불가,없음,"사업내용:1) 지역 고유문화의 개발, 보급, 보존 및 선양<br />
2) 향토사의 조사, 연구 및 사료의 수집 보존<br />
3) 지역 문화행사의 개최<br />
4) 문화에 관한 자료의 수집 보존 및 보급<br />
5) 지역 전통 문화의 국내,외 교류<br />
6) 지역문화에 대한 사회교육 활동<br />
7) 지역 환경보존 등 지역사회 발전을 위한 문화활동<br />
8) 기타 지역 문화발전에 기여할수 있는 사업
"
대구 서구문화원,41759,,,대구광역시 서구 당산로 403(이현동),35.8728270789,128.5455336604,"* 서구 문화의 전도사, 대구 서구문화원 *<br /><br />서구문화원은 2000년 개원하여 지금까지 서구 문화의 전도자가 되기 위하여 많은 노력을 기울여 왔다. 지금의 시대는 인터넷 혁명을 통하여 우리의 생활을 근본적으로 바꾸어 나가고 있는 정보화의 물결과 함께, 지식과 정보 네트워크의 중요성을 강조하고 있다. 서구문화원은 우리의 삶, 우리 마을에 문화. 역사가 살아있어야 문화예술, 문화콘텐츠산업도 발전할 수 있고, 또한 우리의 삶이 더욱 인간답고 풍요로운 것이 될 것이라는 생각으로 주민 문화생활 발전을 위해 최선을 다하고 있다. 또한, 다양한 프로그램을 개발하여 문화시설을 찾는 주민들이 즐거움을 갖고 제반 문화공간들을 다시 찾을 수 있도록 최선의 노력을 다하고 있다.<br>",,,,"공연, 전시, 프로그램에 따라 상이",,,,,문화회관 주차장 이용,,없음,불가,없음,
팔공문화원,41009,,,대구광역시 동구 팔공로197길 25(백안동),35.9559730939,128.6891964556,"* 시민의 곁으로 찾아가는 문화, 대구 동구 팔공문화원 * <br />
2000년 3월 20일 설립된 팔공문화원은 지역문화의 거점으로서의 전통문화의 계승과 발전이라는 대전제 아래 지역민들의 문화복지 향상을 위해 노력하고 있다. 동구는 지역은 조상의 숨결이 살아 움직이는 팔공산의 문화유산과 금호강을 중심으로 하는 천혜의 자연환경을 지니고 있다. <br />문화유산과 자연환경의 혜택은 지역민들로 하여금 풍요로운 삶을 영위 하게끔 하였고, 동구지역민의 문화적 토양 제공자로서의 문화원의 역할은 한층 더 중요시 되어 왔다. 이러한 문화원의 역할을 최선의 방법으로 행하고자 하는 것이 팔공문화원의 사업 추진 목적이라 할 수 있다. 

* 지역 주민을 위한 문화 프로그램 * 
지역문화 향상의 구심점으로 자리매김을 하고 있는 동구팔공문화원은 ‘찾아가는 문화복지’, ‘초대하는 문화향유’, ‘참여하는 문화민주 실현’을 위해 다음과 같은 일들을 추진 운영하고 있다. <br />

* 지역의 문화예술 소외주민들을 찾아가는 문화향유 프로그램의 개발과 확대 시행 <br />* 문화복지 실천을 통한 문화민주주의 기반조성 <br />* 참여하는 문화예술 활동을 통한 지역주민들의 문화민주화 의식 고양 <br />* 문화 소외 주민 대상 평생교육 프로그램의 다양한 개발과 운영 <br />* 문화 소외 주민들을 위한 초대하는 문화 프로그램의 확대로 더불어 누리는 문화사회 실현",,611.94m²,,09:00~18:00,"토요일, 일요일, 공휴일",,,,주차 가능,,없음,불가,없음,"사업내용:1) 지역의 문화예술 소외주민들을 찾아가는 문화향유 프로그램의 개발과 확대 시행<br />2) 문화복지 실천을 통한 문화민주주의 기반조성 <br />3) 참여하는 문화예술 활동을 통한 지역주민들의 문화민주화 의식 고양 <br />4) 문화 소외 주민 대상 평생교육 프로그램의 다양한 개발과 운영 <br />5) 문화 소외 주민들을 위한 초대하는 문화 프로그램의 확대로 더불어 누리는 문화사회 실현
"
대구문화예술회관,42672,,,대구광역시 달서구 공원순환로 201(성당동),35.8451165839,128.5594887553,"대구문화예술회관은 장르에 구분 없이 대형작품 공연이 가능한 '팔공홀', 연극공연과 독주회에 강점을 가진 '비슬홀', 그리고 13개의 전시실이 가동 중인 '전시관'을 비롯하여 '야외공연장'과 '코오롱야외음악당'을 보유하고 있는 대구의 대표적인 문화공간이다. 이외에 '향토역사박물관', '방짜유기박물관', '근대역사박물관'을 운영하고 있을 뿐 아니라 '교향악단, 합창단, 국악단, 무용단, 극단, 소년소녀합창단' 등 6개 시립예술단체를 보유하고 있어 어떠한 장르의 작품이라도 자체 생산이 가능하다.<br /><br />* 개관일 : 1990년 05월 21일<br>",,"부지면적 : 66,100㎡ (공연관 5,929㎡, 전시관 13,636㎡)",,"공연, 전시마다 다름",,"공연, 전시마다 다름",,,주차 가능,무료,없음,불가,가능,"체험프로그램:DAC예술아카데미, DAC인문학극장, DAC글로벌인턴쉽, DAC창의체험학습
사업내용:자체 기획공연 및 시립예술단체 공연 및 대관공연
소장품현황:문화유산으로의 가치를 지닌 1,100여점의 소장품 보유
대관안내:공연관 대관문의 : 053-606-6147<br>
미술관(전시실) 대관문의 : 053-606-6137<br>
코오롱 야외음악당 대관문의 : 053-606-6453<br>
달구벌홀 대관문의 : 053-606-6116<br> 
"
대구 코오롱 야외음악당,42672,,,대구광역시 달서구 야외음악당로 180(두류동),35.8510547396,128.5561555513,"시민을 위한 문화의 장, 대구 코오롱 야외음악당

2000년 9월 29일에 개관한 대구 코오롱야외음악당은 단일공연장으로서는 국내 최대의 규모로 두류공원 내에 위치하고 있으며, 지리적 여건으로 인하여 시민들의 사랑을 받고 있는 명소로 부각되고 있다. 

또한, 대구 코오롱 야외음악당은 1만 여평의 넓은 잔디광장에 2만 7천명을 수용할 수 있으며, 음악회를 비롯하여 연극, 뮤지컬, 오페라 등 어떠한 장르의 무대 공연일지라 도 가능하며, 이용자격에 제한을 두지 않는 개방적인 공간이다.


탁 트인 야외에서 휴식을 겸하여 공연을 감상할 수 있으며, 많은 사람들에게 또 다른 문화적 경험을 제공할 대구야외음악당은 지방문화 창달에 크게 기여할 것으로 기대하며, 시민의 곁으로 한 걸음 다가서는 열린 문화공간으로서의 
역할을 다 할 것이다.",,"대지면적 32,330㎡ (9,780평)","고정객석 1,080석(최대 수용인원 27,000명)",오전 09:00~12:00 / 오후 13:00~17:00 / 야간 18:00~22:00,,,,,주차 가능,,없음,불가,없음,"대관안내:신청접수 - 대관심의(수시) - 사용료 납부 - 사용<br>
문의 053-606-6453
"
대백프라자갤러리,41953,,,대구광역시 중구 명덕로 333(대봉동),35.8558412344,128.6063954369,"* 대구 최초의 상업 화랑, 대백프라자갤러리
1971년 5월 대구백화점 본점 4층에 대구에서는 최초의 상업화랑으로 개관한 '대백갤러리' 는 70년대 한국미술과 대구미술사에 있어 중요한 미술전람회를 유치 개최하고 대구미술문화의 중추적 역할을 수행해 왔다.
1993년 대백프라자점 개점과 함께 단일 전시공간으로는 대구 최대규모를 자랑하며 1993년 9월 15일에 개관했으며, 2004년 1월 새롭게 단장하여 재개관을 한 '대백프라자갤러리'는 지역내 수준급 전문갤러리서, 기업이윤을 사회환원 취지로 백화점 고객 및 지역 주민들의 문화생활의 질을 높이고 예술과 근접할 수 있는 기회를 제공하는 고품격 문화공간이다. <br>",,,,"월-목 10:30 ~ 20:00<br>
금-일 10:30 ~ 20:30","매주 월요일, 명절 연휴",무료,,,대구백화점 주차장 이용 (관람시 2시간 무료 이후는 유료),,가능,불가,없음,"대관안내:전시장 대관 가능
"
