명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
동구시장,41239,,,대구광역시 동구 화랑로25길 1(효목동),35.8743258754,128.6401113968,"동구시장은 2007년 대구 최초로 모범시장으로 선정됐다. 시장에서는 칼국수, 부침개 등 즉석에서 요리한 각종 먹거리를 판다. 이 밖에 과일류와 채소류 등을 구입할 수 있다. 인근 관광지로는 화랑공원, 동촌유원지, 대구시니어체험관, 대구아쿠아리움 등이 있다.<br>*사진 출처: 대구광역시청",053-744-6569,,"각종 먹거리, 채소류, 생선류, 의류, 생활용품 등",,,,05:00-20:00,"첫째주, 셋째주 일요일","대지면적 1,492㎡ / 연면적 1,988㎡ / 매장면적 1,021㎡ / 148개소",없음,,없음,없음,없음,있음,
반야월종합시장,41110,,,대구광역시 동구 율하동로 144(신기동),35.8724411419,128.7030531299,"반야월종합시장은 매달 1일과 6일에 오일장이 열린다. 이곳에서는 먹을거리는 물론 의류, 잡화 등을 저렴한 가격에 구입할 수 있다. 반야월종합시장은 지하철 1호선을 타고 신기역에서 내리면 걸어서 5분이면 닿는다.인근 관광지로는 율화광장, 안심근린공원, 반계근린공원, 고산서당 등이 있다.<br>*사진 출처: 대구광역시청",053-963-9948,,"의류, 잡화",,,,"09:00-20:00 (상가건물) / 매월 1일, 6일(상가주변부 5일장)","첫째주, 셋째주 일요일(상가건물)","대지면적 9,821㎡ / 연면적 25,609㎡ / 매장면적 9,627㎡ / 50개소",있음,,없음,없음,없음,있음,
산격종합시장,41535,,,대구광역시 북구 동북로 164(산격동),35.8992197322,128.6104799795,"산격종합시장은 상가주택건물형 시장이다. 이곳에서는 떡, 반찬 등 각종 먹거리와 생채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 있다. 최근에는 산격종합시장 내 빈 점포를 활용한 대구 제1호 청년몰이 입점해 시장에 활기를 불어넣고 있다. 주변 볼거리로는 대구교육박물관이 있다.
*사진 출처: 대구광역시청",053-959-8596,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,10:00-20:00,점포별 상이,"대지면적 5,455㎡ / 연면적 5,760㎡ / 매장면적 2,331㎡ / 50개소",불가,,없음,없음,없음,있음,
롯데마트_토이저러스대구율하점,41097,,,대구광역시 동구 안심로 80 (율하동),35.8684941880,128.6934207547,-,053-607-2700,,기타 소매,,월~일요일,,11:00~21:00,월1회,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
다이아미 현대백화점 대구점,41936,,,대구광역시 중구 달구벌대로 2077,35.8666702733,128.5906548560,-,053-245-2297,,보석(장신구),,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
까르띠에 신세계 대구점,41229,,,대구광역시 동구 동부로 149 5층,35.8779835934,128.6292150324,-,053-661-6351,,"가죽 제품 및 가방,시계,안경,향수 및 화장품,기타 소매",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
대구광역시수산물도매시장,41488,,,대구광역시 북구 매천로18길 34(매천동),35.9026514335,128.5430497162,"대구를 대표하는 농수산물시장 가운데 하나다. 신선한 농산물과 싱싱한 수산물을 한 곳에서 만날 수 있다. 1층은 각종 농수산물을 판매하며, 2층은 구입한 활어를 먹을 수 있는 공간이다. 2층에서는 상차림 비용만 지불하면 1층에서 구입한 생선회를 먹을 수 있으며, 주류도 함께 판매하고 있다.<br>*사진 출처: 대구광역시청",053-803-7000,,각종 농수산물,,,,매장마다 다름,매장마다 다름,,있음,,없음,불가,가능,,
현풍백년도깨비시장,43003,,,대구광역시 달성군 현풍읍 현풍로6길 5,35.6947786622,128.4422698921,현풍백년도깨비시장은 1918년 3월에 개장한 역사 깊은 시장이다. 시장은 세 가지 특징을 지녔다. 먼저 다양한 세대 간의 문화를 접할 수 있는 전통시장이라는 것이 첫 번째 특징이다. 두 번째는 매월 5일과 10일에 전통 오일장이 열린다는 점이다. 마지막으로 세 번째는 전통시장에 새로운 활력을 불어넣는 청년몰이 입점해 있다는 것이다.<br>*사진 출처: 대구광역시청,053-611-2420,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,"평일 8:30~23:00 먹거리, 평일 9:00~19:00",없음,"대지면적 16,389㎡ / 연면적 4,156㎡ / 매장면적 4,058㎡ / 65개소",있음,,없음,없음,없음,있음,
화원시장,42962,,,대구광역시 달성군 화원읍 인흥길 33-4,35.8011760035,128.4991508433,"화원시장에서는 오일장이 열린다. 장날은 1일과 6일이다. 장이 서는 날이면 평소보다 다양한 상품을 구입할 수 있다. 평소에도 문을 여는 상점이 많지만, 오일장의 분위기를 느끼려면 장날에 맞춰 방문하길 권한다. 시장에는 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 있다.<br><br>*사진 출처: 대구광역시청",053-644-8840,"대지면적 4,487㎡ / 연면적 1,733㎡ / 매장면적 1,193㎡ / 35개소","각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,09:00 - 19:00,개별휴무,,주차가능,,없음,없음,없음,가능,
송라시장,41263,,,대구광역시 동구 동부로5길 10(신천동),35.8745420600,128.6153219078,"송라시장은 대구시 동구에 자리 잡은 작은 규모의 시장이다. 이곳은 작지만 다양한 쇼핑을 할 수 있다. 판매 품목이 각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등 알차기 때문이다. 송라시장은 대구 지하철 1호선 신천역에서 도보 2분이면 닿는다. 인근에 칠성 야시장, 원조 닭똥집 골목, 대구 아쿠아리움 등 관광지도 많다.<br>*사진 출처: 대구광역시청",053-803-3881,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,07:00~20:00,첫째주 셋째주 일요일,"대지면적 4,609㎡ / 연면적 6,392㎡ / 매장면적 2,578㎡ / 47개소",,,없음,없음,없음,,
서문시장 5지구,41928,,,대구광역시 중구 큰장로26길 6(대신동),35.8681226635,128.5784975532,"서문시장은 한국 3대 시장 중 하나다. 경상권 최대 시장으로 주단이나 포목 등의 섬유 제품과 더불어 다양한 먹거리로 유명하다. 특히 2016년 6월에 국내 최대 규모의 ‘서문 야시장’이 개장되면서 한국의 전통과 맛을 선사할 수 있는 관광지로 부상하게 되었다. 서문시장은 약 5,000여 개의 점포와 3만여 명의 상인들이 상주하고 있다. 포목, 직물, 의류 등 섬유 관련 품목들과 청과물, 마른 해산물, 신발 등 생활에 필요한 모든 것들을 갖추고 있다. 특히 직물과 섬유 관련 제품은 전국에서 알아주는 유명한 상품이 많다. 서문시장 내에 위치한 서문시장 5지구는 의류, 내의, 그릇, 잡화 등을 중점적으로 판매하는 상점이 성업 중이다. 인근에는 동성로 다운타운, 김광석 거리, 근대역사 골목 등 가볼 만한 곳이 풍부한 관광의 중심지이기도 하다. 
(사진 출처: 대구광역시청)",053-256-6341,,"의류, 내의, 그릇, 잡화 등",,,,07:00-17:00,"첫째주, 셋째주 일요일","대지면적 4,268㎡ / 연면적 9,044㎡ / 매장면적 7,448㎡ / 233개소",가능,,없음,없음,없음,있음,
펜디 현대 대구,41936,,,대구광역시 중구 달구벌대로 2077,35.8666702733,128.5906548560,-,053-245-2115,,"가죽 제품 및 가방,여성의류",,월~일요일,,10:30~20:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
홀리카홀리카_동성로중앙점,41937,,,"대구광역시 중구 동성로 31 ,2층(동성로2가)",35.8695950309,128.5954265754,-,010-2515-1704,,향수 및 화장품,,월~일요일,,11:00~21:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
방촌종합시장,41160,,,대구광역시 동구 동촌로46길 2(방촌동),35.8813671952,128.6644285030,"방촌 종합시장은 상가건물형 시장이다. 시장 천장에는 아케이드를 설치해 날씨에 관계없이 연중 장보기에 나설 수 있다. 시장에는 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 들어찼다. 특히 이곳의 명물은 떡볶이로, 시장 내부에 떡볶이 골목이 자리 잡고 있다.<br>*사진 출처: 대구시 동구청",053-984-5317,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,상점별로 다름,상점별로 다름,,있음,,없음,불가,가능,,
교동시장,41912,,,대구광역시 중구 동성로 70-17(교동),35.8729974465,128.5966874810,"대구역과 동성로 사이에 자리 잡은 전통시장이다. 토속음식부터 퓨전 음식까지 다양한 먹거리를 판매하고 있다. 대구의 대형 전통시장과 달리 교동시장은 좁은 골목길이 여전히 남아 있고, 길목 사이사이 오래된 추억이 묻어있어 10년 전이나 20년 전이나 그 길목을 찾는 사람들에게는 가장 변함없는 전통시장이다. 교동시장의 귀여운 도깨비가 안내해주는 길목을 따라 들어가면, 옹기종기 이웃사촌하고 있는 상인들의 분주하게 하루를 열고 있다. 지하철 1호선 중앙로 역에서 도보 3분, 대구역에서 도보 8분이 소요된다. 인근 관광지로는 향촌문화관, 동성로 2.28 기념 중앙공원, 대구 근대골목 등이 있다.",053-424-9150,,"각종 먹거리, 채소류, 생선류, 의류, 생활용품 등",,,,상시 이용,점포별 상이,"규모 : 대지면적 1,515㎡ / 연면적 2,482㎡ / 매장면적 1,803㎡ / 200개소",가능,,없음,없음,없음,있음,
대평리시장,41770,,,대구광역시 서구 문화로49길 25(평리동),35.8781239484,128.5589573296,"대평리시장은 1981년 개설되었고, 시장의 규모는 중형으로 상가건물형으로 이루어져 있다. 각각의 상점에서는 곡물, 정육, 채소, 과일, 어류, 떡, 분식, 잡화, 의류 등을 팔고 있다. 시장 안에는 인근 주민들이 힘을 합쳐 만든 행복을 부르는 벽화길이 있다. 이 덕분에 벽화를 감상하며 장보기를 할 수 있는 재미를 누릴 수 있다.
*사진 출처: 대구광역시 서구청 공식 블로그",053-567-9106,,"곡물, 정육, 채소, 과일, 어류, 떡, 분식, 잡화, 의류 등",,,,점포별 상이,점포별 상이,,불가,,없음,없음,없음,,
프라다 신세계 대구점,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-6462,,"가죽 제품 및 가방,남성의류,신발,여성의류,향수 및 화장품",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
올리브영 대구본점,41941,,,대구광역시 중구 동성로5길 33(삼덕동1가5-1),35.8678813550,128.5964848636,-,053-431-3767,,향수 및 화장품,,월~일요일,,10:30~22:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
올리브영 대구동성로2가,41941,,,대구광역시 중구 동성로 18,35.8684757045,128.5949960892,-,053-421-5290,,향수 및 화장품,,월~일요일,,10:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
유니클로 롯데대구,41581,,,대구광역시 북구 태평로 161,35.8759276605,128.5961541136,-,,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),신발,아동의류,여성의류",,월~일요일,,10:30~20:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
MLB 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 162F,35.9215899181,128.6373908727,-,,,"기타 패션 및 의류,남성의류,신발,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
롭스_대구동성로점,41941,,,대구광역시 중구 동성로2길 53(공평동),35.8684090757,128.5966070600,-,053-256-3740,,"식료품,향수 및 화장품",,월~일요일,,10:30~23:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
티파니 신세계대구,41229,,,"대구광역시 동구 동부로 149, 5층(신천동, 신세계백화점 대구점)",35.8779835934,128.6292150324,-,053-661-6496,,"가죽 제품 및 가방,안경,향수 및 화장품",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
올리브영 대구동성로,41909,,,대구광역시 중구 국채보상로 593,35.8711309695,128.5955126366,-,053-252-5295,,"식료품,향수 및 화장품",,월~일요일,,10:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
클럽클리오_(신)대구동성로클럽,41941,,,대구시 중구 동성로2가 144-3,35.8687173476,128.5951571799,-,010-8232-6644,,"향수 및 화장품,기타 소매",,월~일요일,,10:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
롭스 대구상인역사점,42781,,,대구시 달서구 월배로 지하 223지하상가2호,35.8189385949,128.5379497121,-,,,"식료품,악세서리,향수 및 화장품",,월~일요일,,11:00~22:30,,"이용환급창구 운영사업자 : 큐브리펀드(CubeRefund), 환급서비스 제공방식 : 사후",불가능,,,,가능,완비,
파타고니아_대구동성로점,41937,,,대구 중구 동성로 11 (동성로3가),35.8680729632,128.5944572593,-,053-428-1224,,"남성의류,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 큐브리펀드(CubeRefund), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
올리브영 대구대백,41941,,,대구광역시 중구 동성로6길 22(공평동),35.8688673573,128.5965903827,-,053-252-2539,,"식료품,향수 및 화장품,기타 소매",,월~일요일,,10:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
루이비통 현대대구,41936,,,대구광역시 중구 달구벌대로 2077 (계산동2가) 현대백화점,35.8666702733,128.5906548560,-,,,"가죽 제품 및 가방,기타 패션 및 의류,신발,여성의류",,월~일요일,,10:30~20:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
ER 동아 쇼핑,41936,,,대구광역시 중구 달구벌대로 2085,35.8663758852,128.5918658677,-,,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:30~21:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
네파 이시아폴리스,41026,,,"대구광역시 동구 팔공로49길 16(봉무동 ,롯데이시아폴리스점)",35.9215899181,128.6373908727,-,053-945-2693,,스포츠 용품 및 의류,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
푸마셀렉트 동성로,41941,,,대구광역시 중구 동성로6길 2-231층푸마셀렉트,35.8680729837,128.5955654945,-,053-426-3356,,스포츠 용품 및 의류,,월~일요일,,10:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",불가능,,,,가능,,
구찌 현대 대구점,41936,,,대구광역시 중구 달구벌대로 2077 1층,35.8666702733,128.5906548560,-,,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,신발,악세서리,여성의류",,월~일요일,,10:30~20:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
(주)신세계 동대구복합환승센터,41229,,,대구광역시 동구 동부로 149,35.8779835934,128.6292150324,-,053-661-1042,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품,기타 소매",,월~일요일,,11:00~20:00,"정기휴무일,명절","이용환급창구 운영사업자 : KICC(이지택스리펀드), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
대구백화점 프라자점,41953,,,대구광역시 중구 명덕로 333,35.8557884629,128.6064232139,-,053-426-1234,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기념품점,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품,기타 소매",,월~일요일,,10:30~20:00,"명절, 월1회","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
EW 뉴발란스 동성로,41937,,,대구광역시 중구 동성로 21-1,35.8689117673,128.5949988552,-,031-8036-3116,,"스포츠 용품 및 의류,신발",,월~일요일,,11:00~21:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
올리브영 대구범어,42019,,,대구광역시 수성구 달구벌대로 2379,35.8596827700,128.6228605468,-,053-742-5290,,향수 및 화장품,,월~일요일,,10:00~22:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
롯데백화점 대구점,41581,,,대구광역시 북구 태평로 161,35.8759276605,128.5961541136,-,,,"가구 및 홈데코,가든 및 DIY,가죽 제품 및 가방,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품",,월~일요일,,10:30~20:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",가능,,,,가능,완비,
페레가모 롯데 대구점,41581,,,대구광역시 북구 태평로 161,35.8759276605,128.5961541136,-,,,"가죽 제품 및 가방,기타 패션 및 의류,신발,여성의류",,월~일요일,,10:30~20:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌블루, 환급서비스 제공방식 : 기타",가능,,,,가능,완비,
나이키 모다몰대구,42714,,,"대구광역시 달서구 달서대로 411(호림동, 모다아울렛)",35.8358747119,128.4913950113,-,053-593-4994,,"daeyeon-retait.com스포츠 용품 및 의류,신발",,월~일요일,,11:00~21:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 기타",가능,,,,가능,완비,
올리브영 대구감삼DI,42658,,,대구광역시 달서구 와룡로 130,35.8441912865,128.5376268184,-,053-521-5977,,향수 및 화장품,,월~일요일,,10:30~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
올리브영 대구시지,42274,,,대구광역시 수성구 달구벌대로 3214,35.8395893931,128.7079063987,-,053-795-5290,,"란제리(속옷),스포츠 용품 및 의류,식료품,향수 및 화장품",,월~일요일,,10:00~22:30,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
버버리 롯데 대구점,41581,,,대구광역시 북구 태평로 161 2층,35.8759276605,128.5961541136,-,053-660-3080,,"가죽 제품 및 가방,남성의류,여성의류",,월~일요일,,10:30~20:00,"월1회, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
중소기업명품마루 동대구역,41229,,,대구광역시 동구 동대구로 5503F,35.8794806389,128.6288011378,-,053-716-0006,,"가죽 제품 및 가방,기념품점,기타 패션 및 의류,보석(장신구),악세서리",,월~일요일,,08:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
(주)즐거운세상인터불고호텔,42064,,,대구광역시 수성구 팔현길212(주)즐거운세상,35.8734985441,128.6591930731,-,053-602-7114,,기타 소매,,월~일요일,,00:00~24:00,,"이용환급창구 운영사업자 : KICC(이지택스리펀드), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
아리따움 복현영진,41562,,,대구광역시 북구 동북로 246,35.8951092210,128.6177794511,-,053-958-0512,,향수 및 화장품,,월~일요일,,10:00~22:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
모다콜렉션,41918,,,대구광역시 중구 서성로 14 길 91 (대안동),35.8731640203,128.5926683867,-,053-256-0944,,신발,,월~일요일,,10:00~19:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,완비,
