명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
김바우삼겹살,42741,김바우삼겹살,053-653-5378,대구광역시 달서구 송현동1길 19-22(송현동),35.8292043150,128.5496650624,"김바우삼겹살은 대구광역시 달서구 송현동에 위치한 돼지고기구이 전문점으로 17년 이상 된 노포 삼겹살집이다. 시내에 위치하여 송현동 주민들이 저녁 회식이나 가족들의 외식 등 각종 모임 장소로 찾는다. 이곳은 컨테이너로 된 외관을 볼 수 있고 내부는 꽤 넓은 편이다. 메뉴는 100% 국내산 생삼겹살을 참나무 장작에 초벌구이하여 제공한다. 식사류는 셀프로 볶아 먹는 볶음밥과 시골된장, 칼칼한 칼국수가 있다.",053-653-5378,,,가능,0,,16:00~23:00,연중무휴,삼겹살,삼겹살 / 목살 / 생막창 / 돼지김치찌개 / 칼국수 등,,모두 금연석,가능,,전화 예약 문의 (053-653-5378),,20140181457
금강역 레일카페(반야월연꽃마을협동조합),41092,반야월연꽃마을협동조합,053-964-2901,대구광역시 동구 금강로 153,35.8626567704,128.7371892881,"안심창조밸리 조성사업으로 조성된 금강역 레일카페를 2019년 1월부터 안심창조밸리 주민협의체 회원들이 설립한 반야월연꽃마을에서 운영하는 이색 테마카페이다. 새마을 열차 2량을 개조해서 만들어졌다. 또한 주변 안심창조밸리에 조성된 연꽃단지(가남지, 연생태관, 연갤러리, 점새늪, 안심습지)등을 탐방할 수 있다.",053-964-2901,,,,0,,10:00 ~ 22:00 (동절기 10:00 ~ 21:00) / 전화문의,명절연휴 (전화문의),아메리카노,아메리카노 / 바닐라라떼 / 자몽에이드 / 초코라떼 / 연근차 / 핸드메이드 디저트 외,,,없음,,,,20170160443
삼백찬가(강북희망협동조합),41423,,,대구광역시 북구 동천로23길 8(동천동),35.9422611425,128.5597721389,"대구 북구 칠곡 동천동 자연드림 2층에 입점해 있는 삼백찬가는 건강한 먹거리와 공동체를 위해 지역주민들이 출자하여 만든 ‘강북희망협동조합’의 조합원들의 뜻이 모여 만들어진 반찬가게이다.
돈을 벌기 위한 가게가 아니라 좋은 먹거리를 제공하기 위한 가게이다. 워킹맘, 1인 가구, 매일 밖에서 점심식사를 해결해야 하는 직장인, 늦은 시간까지 학원에 다니는 학생, 음식솜씨 때문에 고민인 새내기 주부, 혼자 사시는 노인 분들, 매일 먹는 밥에 대해 고민이 많은 사람들이 모여 믿고 먹을 수 있는 곳을 우리 손으로 직접 만들자는 마음으로 시작했다.",053-313-3007,,,,0,,평일 9:00~18:00,"주말, 1월 1일, 명절연휴, 근로자의 날 (전화문의)","셀프한식바, 삼백한우고기곰탕, 삼백수제꿀생강청","셀프한식바, 삼백한우고기곰탕, 삼백수제꿀생강청 외",,,없음,,,,20010170008
일월정 한정식,42981,,,대구광역시 달성군 논공읍 논공로 697-5,35.7306442243,128.4516902999,일월정 한정식은 대구 달성군 논공읍에 위치해 있다. 일월정은 35년간 요리에 매진해온 대표의 손맛으로 맛깔나는 음식과 일월정만의 특화 음식으로 고객의 입맛을 사로잡는 건강한 식사를 제공한다. 건강에 좋은 흑마늘을 주재료로 만든 건강 보양식 흑마늘독계탕은 특허를 받아 전국에서 일월정에서만 맛볼 수 있는 시그니처 메뉴이다. 3가지 육수에 흑마늘을 통째로 으깨어 넣어 육수와 흑마늘이 색다른 감칠맛을 만들어 준다. 이 육수에 닭 살코기와 독계탕육수로 지은 찰밥을 넣어 소화를 돕고 속을 든든히 채워주어 한 끼 식사로 부족함이 없는 흑마늘 독계탕이 완성된다.,053-615-0855/0558,,,도보 2분거리 운동장 주차장,0,,11:00~20:30 (브레이크타임 15:00~15:30 / 라스트오더 19:30),월요일이 공휴일인 경우 화요일 휴무,일월정 독계죽(흑마늘 삼계죽),일월정 독계죽(흑마늘 삼계죽) / 일월정 독계설렁탕 / 일월정 독계탕 / 일월정 독계갈비탕,,,가능,,,,20050188291
낙희,42052,,,대구광역시 수성구 충의로 30,35.8642049268,128.6470221819,'즐기며 논다' 라는 뜻의 낙희는 각 계절의 오감을 한껏 담은 신선한 재료로 구성되는 코스 요리를 맛볼 수 있는 파인 다이닝이다. 와인과 잘 어울리는 코스 요리는 비주얼도 아름다워 눈과 입 모두가 황홀하다.,0507-1336-6606,,,,,,런치 12:00 ~ 15:00<br>디너 17:30 ~ 22:00,수요일,파인 다이닝,런치코스 / 디너코스,,,,,,,20210176431
대구짬뽕0304,42028,,,대구광역시 수성구 달구벌대로 2435 두산위브더제니스,35.8592357139,128.6291294510,두산위브더제니스 상가 지하 1층에 위치해 있다. 대구 법원 맛집리스트로 유명하다.,053-745-0304,,,,,,11:00 - 20:00,,"얼큰이짬뽕,고기폭탄짬뽕",,,,,,,,
대성기사한식뷔페,41726,,,대구광역시 서구 달서천로 338,35.8841957094,128.5712283016,신선한 재료로 매일 메인메뉴와 국이 바뀌고 여러 종류의 반찬들도 가득하여 다양하게 맛 볼 수있는 곳이다.,053-341-7971,,,,,,05:30~20:00,연중무휴,한식뷔페,한식뷔페,,,,,,,
진미찌짐,41936,,,대구광역시 중구 종로 11,35.8669702683,128.5921991553,"대구에서는 전을 찌짐이라고 부른다. 진미찌짐은 대구에서 다양하고 가성비 좋은 찌짐이 맛집이다. 전 한장에 천원으로 부추전, 녹두전, 김치전 등 다양한 전을 저렴한 가격에 맛볼 수 있다.",053-253-5370,,,,,,,,부추전,빈대떡 / 부추전 / 수수전 / 배추전 등,,,,,,,20120158320
푸른회식당,41870,,,대구광역시 서구 달구벌대로375길 14-1(내당동),35.8622759486,128.5701512285,"푸른회식당은 2014년부터 2021년 현재까지 KBS TV 프로그램 생생정보 등 방송에만 5번 출연한 맛집이다. 대표 메뉴는 오징어 무침회, 가오리 무침회, 미주구리 무침회, 우렁이 무침회 등 각종 무침회다. 새콤한 양념과 향긋한 미나리가 원재료와 어우러졌다. 이곳에서는 각종 무침회 이외에 가오리나 아귀를 찜으로 요리한 음식도 맛볼 수 있다.",053-552-5040,,,주차가능,0,,11:00 - 22:00,매월 첫째주 월요일,무침회,"가오리찜, 아구찜",,,가능,,,"화장실:남녀 구분 내부
",20180164354
대화의장,41918,,,대구광역시 중구 북성로 104-15,35.8738334166,128.5941682353,"‘대화의 장'은 대구 북성로의 좁은 골목에 자리한 카페다. 내부로 들어서면 형형색색의 독특한 인테리어가 눈길을 사로잡는다. 1920년대부터 지역민들의 만남의 장이었던 '대화장' 여관을 리모델링한 공간으로, “대화를 통해 우리의 일상과 세상을 바꾸고자 한다”라는 문구가 인상적이다. 카페 한쪽에는 낯선 대화를 쉽게 시작할 수 있는 대화 카드와 낯선 나와 마주하고 대화할 수 있는 대화 일기 등 대화 굿즈도 무료로 사용할 수 있도록 비치했다. 카페에선 커피와 케이크는 물론이고 샹그리아 등의 가벼운 와인도 판매한다. 카페 외에도 매주 다른 주제로 대화를 나누는 대화 살롱과 대화 클럽, 매번 새로운 메뉴를 선보이는 대화 주방 등 도심 속 복합 문화예술 공간을 지향한다.",0507-1353-2569,,,,0,,11:00 ~ 22:00,매주 월요일,베리베리베리파블로바 / 베리베리빅토리아케이크,베리베리베리파블로바 / 베리베리빅토리아케이크 / 크림치즈라떼 / 레몬민트에이드 / 새우감바스 / 관자버터구이 / 똠양꿍 외,,,가능,가능,,,20200159252
생수정(생수정식당),42940,,,대구광역시 달성군 가창면 우록3길 58,35.7182018092,128.6371493280,"생수정은 대구시 달성군 가창면에 자리 잡고 있다. 대표 메뉴는 양념한 닭고기를 숯불에 구운 숯불구이 한 마리다. 이 밖에 숯불구이 반 마리, 칼국수, 감자전, 해물파전, 촌두부 등을 주문할 수 있다. 반려견 동반 입장이 가능하며, 이 경우 목줄 착용과 배변 봉투 지참은 필수다. 연중 쉬는 날 없이 오전 10시에 문을 열고 오후 10시에 마감한다. 음식점 주변에는 냉천CC와 경북 청도군 소재 그레이스CC가 있다.",053-767-9006,,,있음 / 주차요금 무료,0,,10:00~20:30,매주 목요일,숯불구이 한마리,"숯불구이 반마리, 칼국수, 감자전, 해물파전, 촌두부",,,가능,가능,,"화장실:있음(남녀 구분)

",19900188054
고령촌돼지찌개 앞산본점,42501,,,대구광역시 남구 앞산순환로 440-1(대명동),35.8300741118,128.5741489934,"대구 남구 대명동 앞산 자락에 있는 고령촌돼지찌개 앞산 본점은 앞산 등산 코스를 따라 걷다 보면 만날 수 있는 앞산 공원의 대표 식당이다. 이곳의 시그니처는 단연 촌돼지찌개다. 2인분 기준으로 판매되는 촌돼지찌개는 돼지고기, 채소, 양념을 미리 볶은 다음 테이블에서 바로 육수를 부어준다. 큼직하게 썰어낸 국내산 암퇘지고기에 마늘, 고추, 대파, 깻잎, 양파, 버섯 등을 함께 넣고 칼칼하게 끓여낸 촌돼지찌개는 얼큰한 국물이 일품이다. 처음엔 만두 사리와 두부 사리를 넣고, 다 먹어갈 때쯤 육수와 양념을 추가한 라면 사리를 넣어 먹으면 돼지찌개를 더욱 풍부하게 즐길 수 있다. 앞산 등산로 입구에 자리하고 있기 때문에 공영주차장과 자체 주차장을 이용할 수 있다. 등산객을 위한 쉼터도 제공하고 있어 산행 후 출출함을 달래기에 좋으며, 가볍게 산책을 한 후에 식사하기에 매우 좋다.",053-626-0780,,,주차가능,0,,매일 11:00 - 23:00,설날 당일 휴무,촌돼지찌개,"고추장불고기, 돼지갈비찜, 석쇠불고기",,,가능,가능,가능,"화장실:남녀 구분 내부

",19900166114
정담반점,42774,,,대구광역시 달서구 진천로 11,35.8099838365,128.5261787742,"맵고 자극적인 짬뽕이 맛있는 집이다. 인테리어도, 청결도 깔끔하다. 조개 우동이 있는데 시원한 맛에 해장으로 적합하다. 또한 빨간짬뽕은 마라향이 가미된 개운하고도 진한 국물맛을 낸다.",053-632-8577,,,,,,11:00 ~ 22:00 (브레이크타임 15:30~16:30),매주 월요일,짬뽕 / 찹쌀탕수육,짬뽕 / 찹쌀탕수육 / 조개우동 / 볶음짬뽕 외,,,,,,,20190183588
비움,41551,,,대구광역시 북구 침산남로9길 43,35.8923394341,128.5822159956,"낮에는 카페 저녁에는 와인바로 변신하는 곳이다. 매장은 총 1층, 2층, 3층으로 구분되어 있으며 높은지대에 위치해 있어 노을 뷰가 완벽한 곳이다. 다양한 와인 그리고 커피 베이커리 등이 준비되어 있다.",0507-1365-5123,,,,,,11:00 ~ 02:00,,와인보틀,"아메리카노, 에스프레소, 카페라떼, 바닐라라뗴, 모카라떼, 아인슈페너",,,,,,,20190169066
앞산주택,42489,,,대구광역시 남구 현충로1길 16,35.8336654371,128.5776791381,"앞산 근처 가정집을 개조하여 만든 양식집이다. 아담한 정원과 모던하고 내추럴한 콘셉트를 잘 조화시켜 꾸민 인테리어라 포인트이다. 인기 메뉴는 부챗살스테이크, 파스타, 피자가 인기 메뉴이다.",053-621-3784,,,,,,10:00 ~ 22:00,매주 월요일,"스테이크, 봉골레파스타","스테이크, 봉골레파스타, 바질새우크림파스타, 리조또, 쉬림프라이스, 나시고랭",,,,,,,20090166071
강원도집,42938,,,대구광역시 달성군 가창면 가창로176길 18,35.7901992065,128.6360085440,"대구 달성군 가창면에 있는 강원도집은 석쇠불고기로 유명한 식당이다. 오리불고기, 돼지불고기, 닭불고기의 세 가지 불고기가 이곳의 주력 메뉴다. 불고기는 주문 즉시 섭씨 600도의 숯불에서 직화로 초벌구이된 후 테이블에서 촛불을 켠 구이판에 은은하게 구워 먹을 수 있다. 양념은 매운 정도의 조절이 가능해 아이들이 먹기에도 좋고, 석쇠향과 고기의 부드러운 식감이 오감을 만족시킨다. 여기에 미나리를 비롯한 각종 야채가 쌈용으로 제공되어 먹는 즐거움을 더한다. 고기가 나온 후 조리에 들어가는 옹심이수제비는 뜨끈한 국물에 쫀득한 식감의 감자옹심이가 들어가 든든함을 느끼게 해준다. 인근에 대구숲과 워터파크인 스파밸리가 있어 식전이나 식후에 방문해보는 것도 좋다.",0507-1449-9192,,,주차가능,0,,매일 11:00 - 21:30 / 브레이크 타임15:00 - 16:30,명절 휴무,오리불고기,"옹심이수제비, 돼지불고기, 닭불고기",,,가능,가능,가능,"화장실:남녀 구분 내부

",20070188150
옹심이칼국수,42907,,,대구광역시 달성군 다사읍 다사로 655,35.8873078371,128.4946877404,"대구 달성군 다사읍에 있는 옹심이칼국수는 식당 이름이기도 한 ‘옹심이칼국수’를 비롯해 메밀과 감자를 주재료로 삼는 다양한 강원도 음식을 제공하는 식당이다. 이곳의 시그니처 메뉴인 옹심이칼국수는 두툼하고 쫄깃한 메밀면에 걸쭉하지만 자극적이지 않은 국물이 부어져 나온다. 여기에 감자로 만든 옹심이가 여러 알 들어가 있어 먹는 재미를 더한다. 감자를 강판에 갈아서 구워낸 감자전은 테두리는 바삭하고 안쪽은 쫄깃한 감자전 특유의 식감을 잘 살렸다. 감자만두는 얇고 쫀득한 만두피 안에 속이 실하게 차있어서 칼국수의 사이드 메뉴로서 손색이 없다. 주변을 와룡산, 박산 등 산들이 둘러싸고 있어 등산 후 식사를 즐기기도 좋다.",053-585-8284,,,주차가능,0,,매일 11:00 - 21:00,"명절 전날, 명절 당일","옹심이칼국수, 막국수 (여름)","감자전, 감자만두",,,가능,가능,가능 (전화),"화장실:가능 (남녀 구분 외부)
",20040188150
조조칼국수 앞산본점,42488,,,대구광역시 남구 현충로15길 13-1(대명동),35.8385732423,128.5791594265,"대구 남구 대명동 앞산 근처에 위치한 조조칼국수는 단 세 가지의 메뉴에 집중해 지역 주민의 입맛을 사로잡은 곳이다. 바로 물총칼국수, 물총조개탕, 낙지해물파전이다. 먼저 물총칼국수는 물총조개라고 불리는 동죽이 들어가 시원한 국물에 푸짐한 면이 함께 나온다. 싱싱한 동죽과 야채를 사용하며, 풍미를 위해 6종류의 조개를 12시간 끓여 육수를 만든다. 조개의 비린 맛이 없고 야들야들하며, 면 또한 깔끔하게 넘어간다. 물총조개탕은 물총칼국수에서 면이 없는 버전이다. 낙지해물파전은 새우와 낙지가 토핑으로 아낌없이 들어가 쫄깃한 식감을 더한다. 이곳은 스마트 스토어에서 밀키트로도 칼국수를 판매하고 있으니 참고하면 좋다. 대구 지하철 1호선 현충로역과 안지랑역이 가깝고 인근에 앞산이 있어 등산 후에 식사하러 오는 경우도 많다.",0507-1429-5343,,,주차가능,0,,매일 10:30 - 22:00<br>마지막 주문 21:30,연중무휴,물총칼국수,"물총조개탕, 낙지해물파전",,,가능,가능,불가,"화장실:가능 (남녀 구분)
",20160166090
진흥반점,42431,,,대구광역시 남구 이천로28길 43-2(이천동),35.8548467942,128.6005293146,"대구 남구 이천동에 있는 진흥반점은 할아버지 때부터 대를 이어서 운영 중인 전통 있는 중식당으로 백종원의 3대 천왕에도 나온 바 있는 전국 5대 짬뽕집이다. 메뉴는 짬뽕, 짬뽕밥, 짜장면, 볶음밥으로 네 가지가 전부다. 이곳의 대표 메뉴인 짬뽕은 국물이 진하면서도 깔끔한 맛을 뿜어낸다. 함께 들어가 있는 숙주는 부드러운 면발과 함께 어우러져 아삭한 식감을 더한다. 이 짬뽕의 파트너로 제격인 메뉴가 바로 볶음밥이다. 각종 재료를 넣어서 볶은 볶음밥은 간이 잘 배어있고 한알 한알 코팅된 듯한 밥알에 겉은 바삭하고 속은 반숙인 중국식 계란프라이가 올라와 있어 톡 터뜨려 먹는 즐거움을 준다. 대구 지하철 3호선 건들바위역이 가깝고, 인근에 두류산이 있어 등산 후 방문하는 것도 좋은 코스다.",053-474-1738,,,가능 (인근 노상 공영주차장),0,,매일 09:00 - 15:00 (재료소진시 마감),매주 일요일,짬뽕,"짬뽕밥, 짜장면, 볶음밥",,,가능,불가,불가,"화장실:가능 (남녀 구분 내부)
",
원조김천식당,42442,,,대구광역시 남구 중앙대로22길 237,35.8420538532,128.6035294063,"진한 국물이 담백하며 깔끔한 맛이 일품인 김천의 원조 돼지국밥집이다. 푸짐한 고기의 양으로 한번 놀라고 돼지국밥과 같이 나오는
반찬들까지 입맛을 사로잡아 돼지국밥 마니아들에게 인기인 곳이다. 또한 맛있게 담근 깍두기까지 일품이다.",053-473-2389,,,,0,,08:30 ~ 20:30,매주 토요일,돼지국밥,"섞어국밥, 수육백반, 순대, 모듬수육, 돼지국",,,,,,,20080166026
더 메모리,39058,,,대구광역시 군위군 산성가음로 711,36.1269482677,128.6955771856,경북 군위에 위치한 아늑한 더 메모리 카페이다. 새콤달콤한 군위에서만 맛볼 수 있는 군위 자두 빵을 판매하고 있다. 또한 군위 자두는 과육이 단단하여 당도가 높아 자두를 갈아만든 시원한 자두 주스도 인기 메뉴이다. 군위 여행 시 잠시 쉬어 갈 수 있는 공간으로 안성맞춤이다.,054-382-3666,,,,0,,,,"자두빵, 아메리카노, 자두주스","카페라떼, 스무디, 과일주스, 에스프레소",,,,,,,
