명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
올리브영 대구침산,41584,,,대구광역시 북구 침산로 124,35.8873179566,128.5917680715,-,,,"기타 패션 및 의류,보석(장신구),식료품,향수 및 화장품",,월~일요일,,10:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
"현풍장 (5, 10일)",43003,현풍 재래시장상인회,053-668-2645,대구광역시 달성군 현풍읍 비슬로130길 53-1,35.6947231113,128.4421643471,"현풍장은 1918년에 개설되어 90년의 역사를 지니고 있다. 규모면에서 대구.경북을 대표하는 5일장 정기시장중 하나였으며, 2011년 9월부터 토.일 주말시장을 운영하고 있다. 고령. 창녕. 청도 등의 인근지역에서 많이 이용하고 있다. 현풍장이 열리는 시장위치는 현풍면사무소와 약 600m 거리에 있으며, 시장옆에 달성군 보건소가 위치하고 있고 현풍 IC에서 약 4km거리에 있다. 시장이 
위치한 현풍지역은 비슬산(1,084m)과 낙동강을 끼고 있어 풍광이 아름답기로 유명하며, 마산~대구간의 국도와 진주~대구 간의 지방도가 면의 남서부에서 교차하고 있어 교통이 편리하다. 또한, 지역 관광지(달성보, 현풍석빙고, 현풍향교, 유가사, 소재사, 비슬산 자연휴양림, 도동서원, 곽망우당묘소, 십이정려각 등)와 연계하여 농.특산물을 쇼핑할 수 있는 전통적인 재래시장이다. 장터가 열리면 이웃하고 있는 유가면, 구지면, 논공읍은 물론 고령, 창녕, 청도 등의 각종 특산품과 농산물이 집결되는 등 큰장이서고 있다.",053-668-2645,"대 지 면 적 : 16,389㎡, <br />
건물연면적 : 2,955㎡, <br />
영업장면적 : 2,955㎡","종합 재래품목 (마늘, 양파 유명)",,5. 10. 15. 20. 25. 30 일 / 주말(토.일),1918년대,주말에만 열림 (06:00 ~ 20:00),5일장이 열리지 않는 평일 휴무 (주말에는 운영함),,옥상주차장 이용가능,,없음,없음,없음,화장실 2개소,"장애인 편의시설:승강기
"
대구 봉덕시장,42439,,,대구광역시 남구 봉덕로 115(봉덕동),35.8451479450,128.6034071086,"봉덕시장은 대구광역시 남구의 대표적 시장 가운데 하나이다. 한국전쟁을 거치면서 시장에는 주변 미군부대에서 흘러들어온 물건들이 흘러넘쳤다. 씨레이션부터 시작해 워카, 담요, 재봉틀, 프라이팬까지 온갖 구제품과 군사보급품들이 시장 안을 가득 채웠다. 그렇게 불행한 역사 속에서 자연발생적으로 생겨난 대구 남구 봉덕시장은 70년대와 80년대 최고의 호황기를 누리며 대구의 4대 시장으로 성장했지만 대형마트와 인터넷 쇼핑몰로 화려했던 출발과는 달리 요즘 시장 경기는 좋지 않다. 이후 2004년 중소기업청의 지원으로 아케이드 설치, 주차장 확보 등 시설현대화를 통해 고객들의 편리한 쇼핑을 돕고자 노력하고 있다.",053-471-2849,"부지면적 6,365㎡","의류, 농.축산물, 채소류, 생활용품 등",,,1955년 3월,점포마다 다름,점포마다 다름,,가능(공용주차장),,없음,없음,가능,있음,
핫트랙스 (대구점),41937,핫트랙스 대구점,053-425-9961,대구광역시 중구 국채보상로 586,35.8705726868,128.5948293793,"핫트랙스는 트렌디한 문구∙ 기프트 아이템, 감성적인 음악을 선보이며 고객에게 일상 속에서 경험할 수 있는 ‘재미와 즐거움’을 선사하고 있다. 핫트랙스에 방문한 고객이 자신에게 맞는 다양한 아이템을 경험하고 선택하는 과정을 통해 ‘나의 가치’와 ‘나’를 찾고, 새로워진 ‘나’를 표현할 수 있게 해주는 복합 문화 쇼핑 공간이다.",핫트랙스 대구점 : 053-425-9961,,문구 / 기프트 / 음반,,,2000.01,09:30 ~ 22:00,"설(당일),추석(당일)",,"일반고객 : 2만원 미만-1시간, 3만원 이상-1시간30분, 4만원 이상-2시간 무료 주차 (최대 2시간) 
<br />북클럽 회원 : 2만원 미만-1시간, 2만원 이상-1시간30분, 3만원 이상-2시간 무료 주차 (최대 2시간) 
<br />프라임/플래티넘 회원 : 2시간 무료 주차 (구매 금액과 상관 없이 무료 주차 가능) <br />
<br />※주차요금 10분당 500원",,불가,불가,가능,있음,"입점브랜드:- 고급필기구 : 워터맨, 파카, 파버카스텔, 라미, 세일러, 크로스, 플래티넘, 오로라, 오마스, 카웨커, 
펠리칸, 쉐퍼 등
<br />- 고급다이어리 : 프랭클린플래너, 오롬시스템 등
<br />- 기프트(직수입상품, 디자인소품) : 로이텀, 몰스킨, 이토야, 렘노스, 리히트랩, 필리피, 렉슨, 포커시스 등
<br />- 디자인문구 : 안테나샵, 모노폴리, 육심원, 제토이, 7321디자인, 공책, 풀디자인, 
아르디움, 울랄라, 돈북 등
<br />- 사무, 화방용품 : 제브라, 미쯔비시, 알파색채, 스테들러, 파버카스텔, 신한커머스 등
<br />- 학용품 : 모닝글로리, 아이비스, 바른손, 위드에버, 해밀 등<br />
- 음반 : 장르별 가요, 팝, 클래식, 영상 
<br />- 디지털코너 : 소니, 필립스, 보스, 닥터드레, 캐논, 애플, 아이리버, UE, 밥말리 등

<br /><br />※ 입점 브랜드는 변동가능성 있으며 방문전 전화문의 필요 
"
미샤 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16롯데아울렛1층,35.9215899181,128.6373908727,-,,,"기타 패션 및 의류,신발,여성의류",,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
프라다 롯데 대구점,41581,,,대구광역시 북구 태평로 161,35.8759276605,128.5961541136,-,053-660-3102,,가죽 제품 및 가방,,월~일요일,,10:30~20:00,"월1회, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
구찌 롯데 대구점,41581,,,대구광역시 북구 태평로 161,35.8759276605,128.5961541136,-,053-660-3186,,가죽 제품 및 가방,,월~일요일,,10:30~20:00,"월1회, 명절","이용환급창구 운영사업자 : 기타, 환급서비스 제공방식 : 즉시",가능,,,,가능,완비,
LF 마에스트로 현대대구,41936,,,대구광역시 중구 달구벌대로 2077 (계산동2가) 현대백화점,35.8666702733,128.5906548560,-,,,"기타 패션 및 의류,남성의류",,월~일요일,,10:30~20:00,"월1회 월요일, 명절","이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
대구국제공항 면세점,41052,,1800-1160,대구광역시 동구 공항로 221(지저동),35.9000395862,128.6376608952,"1983년 대구공항 면세점이 창립하였으며, 21C 패션의 메카인 대구의 국제공항을 방문하는 내외국인 관광객에게 최고의 명품과 최상의 서비스를 제공하고 있다.",1800-1160,,"화장품, 잡화 등 면세품",,,,항공기 운항시간,,대구국제공항 내 2층 국제선 격리대합실내,주차 가능,,없음,없음,가능,화장실 있음,
그랜드면세점(대구시내점),42117,그랜드면세점(대구시내점),053-251-2000,대구광역시 수성구 동대구로 305,35.8576997042,128.6251881746,대구 최초의 유일한 시내면세점으로 140여개의 최다 브랜드를 유치하여 신규 개장하는 시내면세점들 중 최대 규모를 자랑한다.,053-251-2000,,"화장품, 패션, 잡화, 전자, 건강제품 등",,,,11:00 ~ 20:00,연중무휴,,호텔 주차장 이용,,없음,없음,가능,,"입점브랜드:홈페이지 안내(층별 입점브랜드) 참고
"
원대가구 명물거리,41730,,,대구광역시 서구 원대동3가,35.8845346143,128.5741641444,"달성초등네거리와 원대네거리 사이의 골목을 따라가다 보면 골목 양쪽으로 빼곡히 자리 잡고 있는 가구점들을 만날 수 있다. 유명브랜드 가구점부터 중소업체 가구를 판매하는 가구점까지 없는 가구가 없다. 대구에는 꽤 많은 가구골목이 있지만 그중에서 가장 오래된 곳이 원대가구골목이다. 1950년대를 전후로 골목에는 직접 가구를 제작하는 소규모 공장들이 많았다. 당시 경상도 일대의 가구는 모두 이곳에서 나갔다고 해도 과언이 아닐 정도였다.<br /><br />골목에 60년 이상 상권이 유지될 수 있는 이유는 서비스 때문이다. 골목 상인들은 한 번 가구를 사간 손님은 평생 관리한다는 생각으로 가구 관리, 수리 등의 서비스를 제공한다. 최근 인터넷을 통해 가구를 구매하는 사람들이 많아졌지만 골목의 서비스를 찾아 다시금 골목으로 발길을 돌리는 경우도 많다.<br /><br /><출처 : 대구 서구 문화관광><br>",서구청 문화관광 053-663-3004,,"사무용 가구, 브랜드 가구",,,,,연중무휴,,,,없음,없음,없음,,
번개시장,41903,,,대구광역시 중구 태평로 177-2(태평로1가),35.8752638717,128.5974956800,"대구역 바로 옆에 있는 재래시장으로 1970년대 대구 인근 농촌에서 새벽 열차를 이용한 채소, 과일등 보따리상이 자연발생적으로 한데모여 새벽3시부터 오전11시까지 장사를 하여 번개시장이라고 이름이 붙여졌다.
주거래 품목은 농수산물이고 그외 의류, 생선, 잡화등 다양한 상품이 거래되고 있으며 바로 옆에 농협공판장이 있어서 과일도 판매되고있다.",053-423-3460,2.923㎡,"의류, 잡화류, 곡물류, 과채류, 정육류, 해산물, 각종 조미료, 반찬류, 음식점 등",,,,점포마다 다르게 운영,연중무휴(점포마다 다르게 운영),점포수 : 130개,가능,,없음,없음,가능,있음,
목련시장,42212,,,대구광역시 수성구 용학로42길 9(지산동),35.8208456638,128.6318636125,"지산범물 지역의 대표 시장인 지산목련시장은 1990년에 개설되었다. 지산동의 목련아파트 아래에 들어서면서 자연스럽게 지산목련시장으로 불리게 되었다. 실내형 점포 시장이며, 2018년 전통시장 시설 현대화 사업으로 증발 냉방장치가 설치되어 여름철에도 쾌적한 쇼핑이 가능하다. 다양한 먹거리들과 상품들을 저렴한 가격에 쇼핑할 수 있다. 일정 금액 이상 구매 시 무료배달도 가능하다.",053-782-3838,,"농·수·축산물, 음식점,공산품 등",,,,08:00~21:00,"첫째,셋째주 일요일",,없음,,없음,없음,없음,,
마인드브릿지 동성로점,41942,,,대구광역시 중구 동성로 10-1 (동성로 3 가),35.8677924437,128.5947211330,-,053-257-8297,,남성의류,,월~일요일,,10:30~21:30,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
아모르,41909,,,대구광역시 중구 동성로 67 (동성로 1 가),35.8728668869,128.5956736857,-,,,보석(장신구),,월~일요일,,11:00~23:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
지이크파렌하이트,41942,,,대구광역시 중구 동성로 1 길 29-23 (동성로 3 가),35.8674758219,128.5952016549,-,053-236-6669,,남성의류,,월~일요일,,10:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 즉시+사후",불가능,,,,가능,,
수성시장,42124,,,대구광역시 수성구 들안로 285-57(수성동2가),35.8557025564,128.6169806196,"수성시장은 1971년에 개설되어 현재까지 이어져 오고 있는 수성구의 대표 시장이다.<br>주변에 대규모 아파트 주거단지가 있고, 대구 중심가와도 가까운 거리에 있어 접근성이 좋다. <br>인근에 지하철 3호선 수성시장역이 있다. 수성시장 양옆에 동성시장과 태백시장이 함께 어우러져 있어 수성시장에 방문하는 고객들은 동성시장과 태백시장까지 방문하여 더욱 다양한 쇼핑을 즐길 수 있다. <br>수성시장에서 쇼핑하는 경우 시장 앞 도로변에 한 시간까지 주차가 가능하다.",053-755-3218,,"농·수·축산물, 음식점,공산품 등",,,,08:00 ~ 21:00,첫째주 일요일(일부점포 영업),,,,없음,없음,없음,,
동대구시장,41570,,,대구광역시 북구 대현로20길 30(대현동),35.8811217563,128.6091167153,동대구시장은 1960년대에 개장한 역사가 깊은 시장이다. 오랜 삶의 흔적이 있는 시장이지만 점차 쇠퇴하다가 최근 들어 다시 활력을 찾아가고 있다. 혈기 넘치는 청년들이 '청춘장'을 만들면서 먹거리 골목이 새롭게 형성됐기 때문이다. 이 덕분에 시장을 둘러보면 기존 상인들과 청년 상인들이 어우러진 분위기를 느낄 수 있다.<br>*사진 출처: 대구광역시청,053-942-9796,,"가공식품, 농산물, 수산물, 음식점, 축산물",,,,10:00  ~  23:00,매월 첫째 일요일,,있음,,없음,없음,없음,,
대명시장(대명신시장),42400,,,대구광역시 남구 명덕로14길 16(대명동),35.8580543291,128.5769118609,"대명시장은 대명신시장이라고도 불린다. 대구 남구에 위치한 중형 규모의 시장으로 상가건물형이다. 시장에는 각종 먹거리를 비롯해 채소류, 생선류, 의류, 생활용품 등을 파는 상점이 있다. 지하철 3호선 남산역에 내리면 도보로 10분 안팎에 닿는다. 인근 관광지로는 두류벽화마을, 대명문화거리, 반고개무침회골목, 큰장길침구류명물거리, 이월드 등이 있다.<br>*사진 출처: 대구광역시청",053-626-4608,,"각종 먹거리, 채소류, 생선류, 의류, 생활용품 등",,,,08:00~20:00,첫째 일요일,"대지면적 9,855㎡ / 연면적 11,315㎡ / 매장면적 6,059㎡ / 170개소",공영주차장 있음,,없음,없음,없음,있음,
팔달시장,41558,,,대구광역시 북구 팔달로37길 11(노원동2가),35.8890868133,128.5707532076,"팔달시장은 대구 3대 시장 중 하나로 팔달신시장이라고도 불린다. 도시철도 3호선 개통으로 더욱 편리하게 갈 수 있게 됐다. 시장은 대구의 관문인 팔달교와 인접하여 전국 각지에서 모인 신선한 농산물이 유통된다. 시장에는 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 성업 중이다.<br>*사진 출처: 대구광역시청",053-665-2651,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,06:30-19:00,개별 휴무,"대지면적 7,556㎡ / 연면적 6,737㎡ / 매장면적 4,164㎡ / 67개소",없음,,없음,없음,없음,없음,
대구칠곡시장,41434,,,대구광역시 북구 칠곡중앙대로 526(읍내동),35.9425303989,128.5512451052,"대구 칠곡시장은 칠곡 오일장에 뿌리를 둔다. 이후 현대화 사업을 거쳐 2014년 3월 재개장한 구립 공설시장이다. 시장 내에는 분식점과 반찬, 채소, 과일, 건어물, 수산물 등을 취급하는 상점이 들어차 있다. 시장에는 자동차 48대를 주차할 수 있는 주차장, 고객 쉼터, 어린이 놀이터 등 다양한 편의시설이 갖춰져 있다.<br>*사진 출처: 대구광역시청",053-665-2654,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,상점마다 다름,상점마다 다름,,있음 (소형 48대),,없음,없음,없음,,
SI 보브 이시아폴리스,41026,,,대구광역시 동구 팔공로49길 16(봉무동),35.9215899181,128.6373908727,-,053-945-2555,,여성의류,,월~일요일,,11:00~21:00,명절,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",가능,,,,가능,완비,
타임,41941,,,대구광역시 중구 동성로 3 길 68 (공평동),35.8683313373,128.5982485847,-,010-9099-4924,,남성의류,,월~일요일,,10:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
다이나핏,41941,,,대구광역시 중구 동성로 6 길 2-8 (동성로 2 가),35.8687395707,128.5953738265,-,053-422-2202,,스포츠 용품 및 의류,,월~일요일,,11:00~22:00,,"이용환급창구 운영사업자 : 글로벌텍스프리(GTF), 환급서비스 제공방식 : 사후",불가능,,,,가능,,
월배시장,42801,,,대구광역시 달서구 월배로24길 13(진천동),35.8141278350,128.5274257724,"월배시장은 1985년 개설된 이후 최근 침체기를 맞았다. 하지만 대형 마트 브랜드와의 협업으로 다시 전성기를 누리고 있다. 시장 안에 대형 마트 브랜드 상점이 들어서면서 활기를 되찾았기 때문이다. 시장은 대형 마트 브랜드 상점과 더불어 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 소규모 상점이 조화를 이루고 있다. 월배시장은 지하철 1호선 월배역에서 도보 7분이면 닿는다. 인근 관광지로는 선사유적공원, 대구수목원 등이 있다.",053-632-3265,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,07:00-21:00,개별휴무,"대지면적 5,533㎡ / 연면적 10,290㎡ / 매장면적 6,116㎡ / 270개소",있음,,없음,없음,없음,있음,
